,ADD_DATE,BEVERAGES,BOAT LIFTS,BUILDING MATERIALS,CAMPERS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,EMPTY TOTES/DRUM,FARM SUPPLIES,FAX,FRESH PRODUCE,FUEL OIL,FURNITURE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PLANTS,PLUMBING SUPPLIES,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,"SAND, GRAVEL","SAND,GRAVEL",SEPTAGE,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,23-JAN-02,False,,,,C,False,False,False,,EAGLE DRILLING,1000249,False,3.0,,,False,,False,,,,False,False,N,False,0,0,0,0,0,0,False,TODD A TAYLOR,False,False,,0,0,0,0,0,0,0,0,0,,GLENDO,US,WY,PO BOX 125,82213,23-JAN-02,10000.0,2001.0,False,,False,False,0,0,0,0,0,0,5.0,WY,False,False,False,False,N,GLENDO,US,WY,37 GLENDO STATE PARK HWY,82213,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,5,0,0,(307) 735-4053,1,0,0,0,0,0,False,False,100,,0,0,0,0,0,0,True,False,False,False,False,False,False
1,23-JAN-02,False,,,,C,False,False,False,,,1000252,False,1.0,,,False,(719) 395-8269,False,,,,False,False,N,False,0,0,0,0,0,0,False,BRISTOL EXCAVATING INC,False,False,,0,0,0,0,0,0,0,0,0,True,BUENA VISTA,US,CO,PO BOX 1325,81211,23-JAN-02,10000.0,2001.0,False,,False,False,0,0,0,0,0,0,1.0,CO,False,False,False,False,N,BUENA VISTA,US,CO,326 S PLEASANT AVE,81211,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(719) 345-8269,1,0,0,0,0,0,False,False,101,,0,0,0,0,0,0,False,False,False,False,False,False,False
2,23-JAN-02,False,,,,A,False,False,False,,,1000254,False,2.0,OYCOWS@GMAIL.COM,,False,,False,,,,True,False,N,False,0,0,0,0,0,0,False,BONDS RANCH,False,False,,0,0,0,0,0,0,0,0,0,,DURANGO,US,CO,3437 HWY 550 S,81303,15-DEC-21,2000.0,2020.0,False,,False,False,0,0,0,0,0,0,3.0,CO,False,False,False,False,N,DURANGO,US,CO,3437 HWY 550 S,81303,,,2000,2020,False,,,,0,0,0,0,0,0,0,0,0,3,0,0,(970) 259-3950,0,0,0,0,0,0,False,False,102,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
3,23-JAN-02,False,,,,C,False,False,False,,,1000255,False,1.0,,,False,(720) 963-0162,False,,,,True,False,N,False,0,0,0,0,0,0,False,SPECTRUM ENTERPRISES INC,False,False,,0,0,0,0,0,0,0,0,0,,LAKEWOOD,US,CO,9365 W KENTUCKY AVE,80226,20-JAN-02,8000.0,2001.0,False,,False,False,0,0,0,0,0,0,1.0,CO,False,False,False,False,N,LAKEWOOD,US,CO,9365 W KENTUCKY AVE,80226,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(303) 324-3210,1,0,0,0,0,0,False,False,103,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,23-JAN-02,False,,,,A,False,False,False,,,1000258,False,3.0,,,False,(717) 767-8939,False,,True,,False,False,N,False,0,0,0,0,0,0,False,BLOCKHOUSE CO INC,False,False,,0,0,0,0,0,0,0,0,0,,YORK,US,PA,3285 FARMTRAIL ROAD,17406-9602,03-AUG-21,100000.0,2020.0,False,,False,False,0,0,0,0,0,0,2.0,PA,False,False,False,False,N,YORK,US,PA,3285 FARMTRAIL ROAD,17406-9602,,,100000,2020,False,,,,0,0,0,0,0,0,0,0,0,0,2,0,(717) 764-5555,0,0,0,0,0,0,False,False,104,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
5,23-JAN-02,False,,,,C,False,False,False,True,STEWART CONST,1000261,False,1.0,,,False,,False,,,,False,False,N,False,0,0,0,0,0,0,False,KENNETH P STEWART,False,False,,0,0,0,0,0,0,0,0,0,,DRESDEN,US,ME,PO BOX 41,04342,,0.0,,False,,False,False,0,0,0,0,0,0,1.0,ME,False,False,False,False,N,DRESDEN,US,ME,7 MIDDLE RD,04342,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(207) 737-8110,0,0,0,0,0,0,False,False,105,,0,0,0,0,0,0,False,False,False,False,False,False,False
6,23-JAN-02,False,,,,A,False,False,False,,MIKE BARTA & SONS INC,1000262,False,3.0,BARTAINC@VERIZON.NET,,False,,False,,,,True,False,N,False,0,0,0,0,0,0,False,MICHAEL BARTA & SONS INC,False,False,,0,0,0,0,0,0,0,0,0,,LANGHORNE,US,PA,1036 WOODBOURNE ROAD,19047,20-SEP-22,127000.0,2020.0,False,,False,False,0,0,0,0,0,0,4.0,PA,False,False,False,False,N,LANGHORNE,US,PA,1036 WOODBOURNE ROAD,19047,,,127000,2020,False,,,,0,0,0,0,0,0,0,0,0,4,0,0,(215) 757-1162,1,0,0,0,0,0,False,False,106,1.0,1,0,0,0,0,0,False,False,False,False,False,False,False
7,23-JAN-02,False,,,,A,False,False,False,,OSSEO FORD FLEET SERVICE,1000263,False,6.0,FLEET@OSSEOAUTO.COM,,False,(715) 597-3171,False,,,,False,False,N,False,0,0,0,0,0,0,False,OSSEO FORD SALES & SERVICE,True,False,,0,0,0,0,0,0,0,0,0,,OSSEO,US,WI,PO BOX 8,54758,03-MAY-21,60000.0,2013.0,False,,False,False,0,0,0,0,0,0,1.0,WI,False,False,False,False,N,OSSEO,US,WI,50825 SPRUCE RD,54758,,,60000,2013,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(715) 597-3185,1,0,0,0,0,0,False,False,107,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,23-JAN-02,False,,,,C,False,False,False,,CSW INC,1000264,False,3.0,JOHN@CORNERSTONESITEWORKS.COM,,False,,False,,,,False,False,N,False,0,0,0,0,0,0,False,CORNERSTONE SITE WORKS INC,False,False,True,0,0,0,0,0,0,0,0,0,,VIRGINIA BEACH,US,VA,420 CEDAR LANE,23452,02-APR-19,40.0,2018.0,False,,False,False,0,0,0,0,0,0,2.0,VA,False,False,False,False,N,VIRGINIA BEACH,US,VA,420 CEDAR LANE,23452,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(757) 679-9100,1,0,0,0,0,0,False,False,108,,0,0,0,0,0,0,False,False,False,False,False,False,False
9,23-JAN-02,False,,,,C,False,False,False,,,1000266,False,2.0,GREGG@LUNSFORDGRADING.COM,,False,(770) 532-1220,False,,,,False,False,N,False,0,0,0,0,0,0,False,LUNSFORD GRADING & HAULING INC,False,False,,0,0,0,0,0,0,0,0,0,True,TALMO,US,GA,3655 ROY PARKS RD,30575,03-MAY-21,100000.0,2020.0,False,,False,False,0,0,0,0,0,0,6.0,GA,False,False,False,False,N,TALMO,US,GA,3655 ROY PARKS RD,30575,,,100000,2020,False,,,,0,0,0,0,0,0,0,0,0,4,0,0,(770) 532-1075,2,0,0,2,0,0,False,False,109,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
