,ADD_DATE,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,CRANE,DBA_NAME,DIRT & STONE,DIRT SAND GRAVEL,"DIRT,ASPHALT,SAND",DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,"EQUIP. OF BUSINESS, DRYING, DEHUMIDIFIERS, FANS",FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LAWN CARE/LDSC,LAWN EQUIPMENT,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PLUMBING SUPPLIES,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TOOLS & EQUIPMENT,TOOLS BOLTS,TRADE SHOW,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VEGETATIVE DEBRIS,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,WATER WELL DRILLING EQUIPMENT ,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,01-MAY-02,False,,A,False,False,False,,,,,,,1024521,False,2,,,False,,False,,True,False,N,False,0,0,0,0,0,0,False,,,FSH INC,False,False,,0,0,0,0,0,0,0,0,0,,STATESVILLE,US,NC,PO BOX 7352,28687,28-NOV-21,80000.0,2012.0,False,,False,False,0,0,0,0,0,0,2,NC,False,False,False,False,N,STATESVILLE,US,NC,201 POWER STREET,28687,,80000,2012,False,0,0,0,0,0,0,0,0,0,0,0,0,(770) 842-8772,,,,2,0,0,2,0,0,False,False,10000,,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
1,01-MAY-02,False,,A,False,False,False,,,,,,,1024524,False,1,LKBHYDE@CENTURYLINK.NET,,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,,LOGAN LEE HYDE,False,False,,0,0,0,0,0,0,0,0,0,True,DEARBORN,US,MO,21995 HOLLAND BRANCH ROAD,64439-9009,12-MAY-21,2900.0,2018.0,False,,False,False,0,0,0,0,0,0,1,MO,False,False,False,False,N,DEARBORN,US,MO,21995 HOLLAND BRANCH ROAD,64439-9009,,2900,2018,False,0,0,0,0,0,0,0,0,0,0,0,0,(816) 450-8676,,,,1,0,0,1,0,0,False,False,10001,,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
2,01-MAY-02,False,,A,False,False,False,,,,,,,1024528,False,6,KBENTERPRISES91@YAHOO.COM,,False,(518) 239-6538,False,,True,False,N,False,7,0,0,0,0,0,False,,,KB ENTERPRISES OF GREENVILLE LLC,False,False,,0,0,0,0,0,0,0,0,0,,GREENVILLE,US,NY,1275 CR 403,12083,17-FEB-22,18000.0,2011.0,False,,False,False,0,0,0,0,0,0,8,NY,False,False,False,False,N,GREENVILLE,US,NY,1275 CR 403,12083,,18000,2011,False,0,0,0,0,0,0,0,0,0,2,0,0,(518) 239-6538,,,,9,0,0,6,0,0,False,False,10002,,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
3,01-MAY-02,False,,A,False,False,False,,,,,True,,1024529,False,1,JEANIE_KEEN@YAHOO.COM,,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,,KEEN TRUCKING INC,False,False,,0,0,0,0,0,0,0,0,0,,RAVEN,US,VA,PO BOX 912,24639,02-MAY-22,17604.0,2021.0,False,,False,False,0,0,0,0,0,0,1,VA,False,False,False,False,N,RAVEN,US,VA,109 WADE HOLLOW ROAD,24639,,17604,2021,False,0,0,0,0,0,0,0,0,0,1,0,0,(276) 971-1344,,,,0,0,0,0,0,0,False,False,10003,,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
4,01-JUN-74,False,,C,False,False,False,,,,,,,102453,False,2,,,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,,CONNORS PLUMBING & HEATING INC,False,False,,0,0,0,0,0,0,0,0,0,,WASECA,US,MN,407 5TH AVE SE,56093,,15000.0,2005.0,False,,False,False,0,0,0,0,0,0,2,MN,False,False,False,False,N,WASECA,US,MN,407 5TH AVE SE,56093,True,0,0,False,0,0,0,0,0,0,0,0,0,2,0,0,(507) 835-2540,,,,0,0,0,0,0,0,False,False,10004,,,0,0,0,0,0,0,False,,False,False,False,False,False,False
5,01-MAY-02,False,,C,False,False,False,,,,,,,1024535,False,1,ADAMSMKA@COMCAST.NET,,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,,KELLI CORP,False,False,,0,0,0,0,0,0,0,0,0,True,MORGANTOWN,US,WV,3075 POINT MARION ROAD,26505,10-JUN-21,796.0,2020.0,False,,False,False,0,0,0,0,0,0,1,WV,False,False,False,False,N,MORGANTOWN,US,WV,3075 POINT MARION ROAD,26505,,796,2020,False,0,0,0,0,0,0,0,0,0,1,0,0,(304) 292-8102,,,,2,0,0,0,0,0,False,False,10005,,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
6,01-MAY-02,False,,A,False,False,False,,,,,,,1024537,False,4,DICKMATHENY@WESTNETSYSTEMS.COM,,False,(714) 841-3008,False,,False,False,N,False,0,0,0,0,0,0,False,,,WESTNET INC,False,False,,0,0,0,0,0,0,0,0,0,,HUNTINGTON BEACH,US,CA,15542 CHEMICAL LN,92649,11-AUG-22,6062.0,2021.0,False,,False,False,0,0,0,0,0,0,1,CA,False,False,False,False,N,HUNTINGTON BEACH,US,CA,15542 CHEMICAL LN,92649,,6062,2021,False,0,0,0,0,0,0,0,0,0,0,0,0,(714) 548-3500,,,True,0,0,0,1,0,0,False,False,10006,,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
7,01-MAY-02,False,,C,False,False,False,True,,,,,,1024543,False,1,BEZTANZ@MSN.COM,,False,(303) 922-6284,False,,False,False,N,False,0,0,0,0,0,0,False,,,DAVE TANSEY TRUCKING,False,False,,0,0,0,0,0,0,0,0,0,,LAKEWOOD,US,CO,580 S OTIS ST,80226,30-APR-02,9751.0,2001.0,False,,False,False,0,0,0,0,0,0,1,CO,False,False,False,False,N,LAKEWOOD,US,CO,580 S OTIS ST,80226,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(303) 829-4589,,,,0,0,0,0,0,0,False,False,10007,,,0,0,0,0,0,0,False,,False,False,False,False,False,False
8,01-MAY-02,False,,C,False,False,False,,,,,,,1024547,False,8,COOLEYANDSONS@GMAIL.COM,,False,(719) 206-3024,False,,False,False,N,False,0,0,0,0,0,0,False,,,COOLEY & SONS EXCAVATING INC,False,False,,0,0,0,0,0,0,0,0,0,True,MOSCA,US,CO,4469 N CR 108,81146,20-JAN-22,48000.0,2021.0,False,,False,False,0,0,0,0,0,0,10,CO,False,False,False,False,N,MOSCA,US,CO,4469 N CR 108,81146,,48000,2021,False,0,0,0,0,0,0,0,0,0,3,0,0,(719) 206-3022,,,,15,0,0,7,0,0,False,False,10008,,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
9,01-MAY-02,False,,C,False,False,False,,,,,,,1024548,False,1,CURRINBROSINC@ATT.NET,,False,(919) 790-9423,False,,False,False,N,False,0,0,0,0,0,0,False,,,CURRIN BROS INC,False,False,,0,0,0,0,0,0,0,0,0,True,FUQUAY VARINA,US,NC,PO BOX 547,27526,31-OCT-18,1000.0,2017.0,False,,False,False,0,0,0,0,0,0,2,NC,False,False,False,False,N,RALEIGH,US,NC,1610 WOLFPACK LANE,27609,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(919) 876-1138,,,,1,0,0,1,0,0,False,False,10009,,,0,0,0,0,0,0,False,,False,False,False,False,False,False
10,01-MAY-02,False,True,C,False,False,False,,,,,,,1024550,False,1,,,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,,VALLEY EXCAVATING OF GLENWOOD,False,False,,0,0,0,0,0,0,0,0,0,,GLENWOOD SPRINGS,US,CO,192 PONDEROSA DR,81601,30-APR-02,10000.0,2001.0,False,,False,False,0,0,0,0,0,0,1,CO,False,False,False,False,N,GLENWOOD SPRINGS,US,CO,192 PONDEROSA DR,81601,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(970) 928-7771,,,,0,0,0,0,0,0,False,False,10010,,,0,0,0,0,0,0,False,,False,False,False,False,False,False
11,01-MAY-02,False,,C,False,False,False,True,,,,,,1024552,False,1,,,False,(970) 259-5731,False,,False,False,N,False,0,0,0,0,0,0,False,,,ANIMAS STEEL SUPPLY LLC,False,False,,0,0,0,0,0,0,0,0,0,,DURANGO,US,CO,281 C S SKYLANE DR,81303,29-APR-02,2000.0,2001.0,False,,False,False,0,0,0,0,0,0,1,CO,False,False,False,False,N,DURANGO,US,CO,281 C S SKYLANE DR,81303,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(970) 259-7932,,,,0,0,0,0,0,0,False,False,10011,,,0,0,0,0,0,0,False,,False,False,False,False,False,False
12,01-MAY-02,False,,C,False,False,False,,,,,,True,1024556,False,1,,,False,(303) 287-8798,False,,False,False,N,False,0,0,0,0,0,0,False,,,CUTBERTO BARRON,False,False,,0,0,0,0,0,0,0,0,0,,AURORA,US,CO,2200 TOWER RD,80011,30-APR-02,0.0,,False,,False,False,0,0,0,0,0,0,1,CO,False,False,False,False,N,AURORA,US,CO,2200 TOWER RD,80011,,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,(303) 944-0304,,,,1,0,0,1,0,0,False,False,10012,,,0,0,0,0,0,0,False,,False,False,False,False,False,False
13,01-MAY-02,False,,C,False,False,False,,,,,,,1024557,False,1,,,False,(303) 286-2562,False,,False,False,N,False,0,0,0,0,0,0,False,,,K & B PIPELINE INC,False,False,,0,0,0,0,0,0,0,0,0,True,MILLIKEN,US,CO,2157 COUNTRY CLUB PKWY,80543,30-APR-02,30000.0,2001.0,False,,False,False,0,0,0,0,0,0,2,CO,False,False,False,False,N,BRIGHTON,US,CO,10150 E 106TH AVE,80601,,0,0,False,0,0,0,0,0,0,0,0,0,2,0,0,(303) 286-2519,,,,1,0,0,0,0,0,False,False,10013,,,0,0,0,0,0,0,False,,False,False,False,False,False,False
14,01-MAY-02,False,,C,False,False,False,,,B L A,,,,1024572,False,4,GODLEY@FIBERPIPE.NET,,False,(307) 684-0616,False,,False,False,N,False,0,0,0,0,0,0,False,,,BUFFALO LIVESTOCK AUCTION LLC,False,False,,0,0,0,0,0,0,0,0,0,True,BUFFALO,US,WY,BOX 427,82834,12-FEB-13,24138.0,2010.0,False,,False,False,0,0,0,0,0,0,1,WY,False,False,False,False,N,BUFFALO,US,WY,44 TW ROAD,82834,,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,(307) 684-0789,,,,2,0,0,1,0,0,False,False,10014,,,0,0,0,0,0,0,False,,False,False,False,False,False,False
15,01-MAY-02,False,,C,False,False,False,,,SANDERSON AUCTIONEERS BZ PRESSURE CLEANING,,,,1024575,False,1,,,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,True,DAN D SANDERSON,False,False,,0,0,0,0,0,0,0,0,0,,COLON,US,NE,1430 COUNTY ROAD S,68018,,0.0,,False,,False,False,0,0,0,0,0,0,1,NE,False,False,False,False,N,COLON,US,NE,1430 COUNTY ROAD S,68018,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(402) 647-2012,,,,1,0,0,0,0,0,False,False,10015,,,0,0,0,0,0,0,False,,False,False,False,False,False,False
16,01-MAY-02,False,,C,False,False,False,,,KNEIFELS CHAMPLIN,,,,1024579,False,2,,,False,,False,,True,False,N,False,0,0,0,0,0,0,False,,,GENOS,False,False,,0,0,0,0,0,0,0,0,0,,COLUMBUS,US,NE,1771  23RD AVENUE,68601,,0.0,,False,,False,False,0,0,0,0,0,0,2,NE,False,False,False,False,N,COLUMBUS,US,NE,1771  23RD AVENUE,68601,,0,0,False,0,0,0,0,0,0,0,0,0,2,0,0,(402) 564-4434,,,,0,0,0,0,0,0,False,False,10016,,,0,0,0,0,0,0,False,,False,False,False,False,False,False
