,ADD_DATE,AUTO TOOLS,AUTO TOOLS EQUIP,BAKED FOODS,BAKED GOODS,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LANDSCAPE,LAWN CARE,LAWN CARE EQUIPMENT,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PORTABLE RESTROOMS,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,ROAD BLDG MATERIALS,SEPTIC TANK WASTE,SEPTIC WASTE,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TRACTORS/MOWERS,TRASH,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,09-MAY-02,True,,,,False,,C,False,False,False,,AUTHORIZED MATO TOOL DIST,1027282,False,1,,False,(801) 796-8165,False,,False,False,N,False,0,0,0,0,0,0,False,,,,RONALD DAN CARTER,False,False,,0,0,0,0,0,0,0,0,0,,LINDON,US,UT,540 N 800 W,84042,09-MAY-02,0,,False,,False,False,0,0,0,0,0,0,1.0,UT,False,False,False,False,N,LINDON,US,UT,540 N 800 W,84042,,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,1,0,(801) 372-1525,,,0,0,0,0,0,0,False,False,10900,,0,0,0,0,0,0,False,False,False,False,False,False,False
1,09-MAY-02,,,,,False,,A,False,False,False,,,1027283,False,2,MBREWER06@YAHOO.COM,False,,False,,True,False,N,False,0,0,0,0,0,0,False,,,,CLARKSVILLE SAWMILL & LUMBER LLC,False,False,,0,0,0,0,0,0,0,0,0,,CLARKSVILLE,US,OH,P O BOX 131,45113,22-APR-22,5000,2021.0,False,,False,False,0,0,0,0,0,0,3.0,OH,False,False,False,False,N,CLARKSVILLE,US,OH,400 WEST MAIN ST,45113,,5000,2021,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(937) 725-8006,,,1,0,0,1,0,0,False,False,10901,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
2,09-MAY-02,,,,,False,,C,False,False,False,True,BUTCHER CONCRETE RAISING,1027284,False,1,,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,,,SEAN BUTCHER,False,False,,0,0,0,0,0,0,0,0,0,,WEST JORDAN,US,UT,5053 W 7770 S,84084,09-MAY-02,0,,False,,False,False,0,0,0,0,0,0,1.0,UT,False,False,False,False,N,WEST JORDAN,US,UT,5053 W 7770 S,84084,,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(801) 282-9910,,,1,0,0,0,0,0,False,False,10902,,0,0,0,0,0,0,False,False,False,False,False,False,False
3,09-MAY-02,,,,,False,,C,False,False,False,,,1027288,False,2,,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,,,EASTERN DISPOSE ALL,False,False,,0,0,0,0,0,0,0,0,0,,WATKINS,US,CO,PO BX 425,80137,09-MAY-02,0,,False,,False,False,0,0,0,0,0,0,6.0,CO,False,False,False,False,N,WATKINS,US,CO,1705 LESSIG ST,80137,,0,0,False,,,,0,0,0,0,0,0,0,0,0,6,0,0,(303) 363-6969,,True,0,0,0,0,0,0,False,False,10903,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,09-MAY-02,,,,,False,,C,False,False,False,,,1027291,False,2,,False,(801) 254-0802,False,,False,False,N,False,0,0,0,0,0,0,False,True,,,QUALITY SPRINKLERS AND LANDSCAPING,False,False,,0,0,0,0,0,0,0,0,0,,S JORDAN,US,UT,2511 VAN ROSS DR,84095,09-MAY-02,0,,False,,False,False,0,0,0,0,0,0,1.0,UT,False,False,False,False,N,S JORDAN,US,UT,2511 VAN ROSS DR,84095,,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(801) 254-0321,,,1,0,0,0,0,0,False,False,10904,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,09-MAY-02,,,,,False,,C,False,False,True,,,1027294,False,1,FJBORDO@HOTMAIL.COM,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,,,BORDEWICK TRUCKING LLC,False,False,,0,0,0,0,0,0,0,0,0,,THREE FORKS,US,MT,45 OLD TOWN RD,59752,27-MAR-21,30000,2020.0,False,,False,False,0,0,0,0,0,0,1.0,MT,False,False,False,False,N,THREE FORKS,US,MT,45 OLD TOWN RD,59752,,30000,2020,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(406) 539-6951,,,2,0,0,0,0,0,False,False,10905,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
6,09-MAY-02,,,,,False,True,C,False,False,False,,DIGGER DAVES,1027296,False,1,,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,,,DAVID BATES,False,False,,0,0,0,0,0,0,0,0,0,,BLUFFDALE,US,UT,2996 W 14400 S,84065,09-MAY-02,0,,False,,False,False,0,0,0,0,0,0,1.0,UT,False,False,False,False,N,BLUFFDALE,US,UT,2996 W 14400 S,84065,,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(801) 254-6609,,,0,0,0,0,0,0,False,False,10906,,0,0,0,0,0,0,False,False,False,False,False,False,False
7,09-MAY-02,,,,,False,,C,False,False,False,,,1027299,False,4,,False,,False,,True,False,N,False,0,0,0,0,0,0,False,,,,CHADS PLUMBING AND SPRINKLER SUPPLY,False,False,,0,0,0,0,0,0,0,0,0,,OGDEN,US,UT,1590 WALL AVE,84404,09-MAY-02,0,,False,,False,False,0,0,0,0,0,0,1.0,UT,False,False,False,False,N,OGDEN,US,UT,1590 WALL AVE,84404,,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(801) 399-0272,,,0,0,0,0,0,0,False,False,10907,,0,0,0,0,0,0,False,False,False,False,False,False,False
8,09-MAY-02,,,,,False,,C,False,False,False,,NWFT,1027302,False,2,,False,(541) 481-6049,False,,False,True,N,False,0,0,0,0,0,0,False,,,,NORTHWEST FEED TRANSPORTATION LLC,False,False,,0,0,0,0,0,0,0,0,0,,HERMISTON,US,OR,822 HWY 395 S #506,97438,29-MAR-02,0,,False,,False,False,0,0,0,0,0,0,2.0,OR,False,False,False,False,N,IRRIGON,US,OR,77460 PATTERSON FERRY RD,97844,,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(541) 481-6046,,,0,0,0,2,0,0,False,False,10908,,0,0,0,0,0,0,False,False,False,False,False,False,False
9,09-MAY-02,,,,,False,True,A,False,False,False,,L&M CONSTRUCTION & EXCAVATING,1027306,False,5,BCSANGUS@GMAIL.COM,False,(801) 798-7819,False,,False,False,N,False,0,0,0,0,0,0,False,,,,L & M INTERIORS INC,False,False,,0,0,0,0,0,0,0,0,0,,SPANISH FORK,US,UT,1040 NORTH 300 WEST,84660,28-JUN-22,60000,2020.0,False,,False,False,0,0,0,0,0,0,11.0,UT,False,False,False,False,N,SPANISH FORK,US,UT,1040 NORTH 300 WEST,84660,,60000,2020,False,,,,0,0,0,0,0,0,0,0,0,8,0,0,(801) 372-0762,,,15,0,0,3,0,0,False,False,10909,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
