,ADD_DATE,AGGREGATES,BAKERY PRODUCTS,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",HAND TOOLS,HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVE PLANTS,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,OWN EQUIPEMENT ,PALLETS,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PLANTS,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,RECYLE PAPER PLASTIC,REFRIGERATED FOOD,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TEXTILES,TOOLS,TOPSOIL,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UNSPECIFIED,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER,WATER WELL,WOOD CHIPS,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,13-MAY-02,,,False,,A,False,False,False,,,1027789,False,3,LESLIE@WENGERLAWNNURSERY.COM,False,(937) 884-7692,False,,False,False,,N,False,0,0,0,0,0,0,False,WENGERLAWN NURSERY CO,False,True,False,,0,0,0,0,0,0,0,0,0,,BROOKVILLE,US,OH,6450 WENGERLAWN RD,45309-8214,13-SEP-22,52000,2021.0,False,,False,False,0,0,0,0,0,0,3,OH,False,False,,,False,False,N,BROOKVILLE,US,OH,6450 WENGERLAWN RD,45309-8214,,52000,2021,,False,0,0,0,0,0,0,0,0,0,3,0,0,(937) 884-7692,,,,0,0,0,0,0,0,False,,False,11100,1.0,0,0,0,0,0,0,,False,,False,False,False,False,False,False
1,13-MAY-02,,,False,,C,False,False,False,,BRYANS TRASH REMOVAL,1027791,False,2,COXGARY@AOL.COM,False,(410) 357-5419,False,True,False,False,,N,False,0,0,0,0,0,0,False,SANDERS E BRYAN,False,,False,,0,0,0,0,0,0,0,0,0,,WHITE HALL,US,MD,20607 OLD YORK ROAD,21161,04-JAN-21,15000,2020.0,False,,False,False,0,0,0,0,0,0,2,MD,False,False,,,False,False,N,WHITE HALL,US,MD,20607 OLD YORK ROAD,21161,,15000,2020,,False,0,0,0,0,0,0,0,0,0,2,0,0,(410) 357-5419,,,,0,0,0,0,0,0,False,,False,11101,1.0,0,0,0,0,0,0,,False,,False,False,False,False,False,False
2,13-MAY-02,,,False,,A,False,False,False,,JOE LUIS TRUCKING,1027794,False,1,,False,,False,,True,False,,N,False,0,0,0,0,0,0,False,JOSE L PANTOJA,False,,False,,0,0,0,0,0,0,0,0,0,,BLOOMFIELD,US,NM,#55 CR 5005,87413,27-SEP-22,1,2021.0,False,,False,False,0,0,0,0,0,0,2,NM,False,False,,,False,False,N,BLOOMFIELD,US,NM,#55 CR 5005,87413,,1,2021,,False,0,0,0,0,0,0,0,0,0,1,0,0,(505) 486-3863,,,,1,0,0,1,0,0,False,,False,11102,1.0,0,0,0,0,0,0,,False,,False,False,False,False,False,False
3,13-MAY-02,,,False,True,C,False,False,False,,,1027797,False,8,KRUPNIK@QIS.NET,False,(410) 761-1297,False,,False,False,,N,False,0,0,0,0,0,0,False,KRUPNIK BROS INC,False,,False,,0,0,0,0,0,0,0,0,0,,GLEN BURNIE,US,MD,1913 DORSEY ROAD,21061,17-FEB-10,0,,False,,False,False,0,0,0,0,0,0,3,MD,False,False,,,False,False,N,GLEN BURNIE,US,MD,1913 DORSEY ROAD,21061,,0,0,,False,0,0,0,0,0,0,0,0,0,3,0,0,(410) 761-1297,,,,0,0,0,0,0,0,False,,False,11103,,0,0,0,0,0,0,,False,,False,False,False,False,False,False
4,13-MAY-02,,,False,,C,False,False,False,,,1027800,False,2,,False,(410) 876-8316,False,,False,False,,N,False,0,0,0,0,0,0,False,M AND M TRUCK AND EQUIPMENT CO INC,False,,False,,0,0,0,0,0,0,0,0,0,,FINKSBURG,US,MD,P O BOX 86,210480086,06-MAY-02,0,,False,,False,True,0,0,0,0,0,0,6,MD,False,False,,,False,False,N,FINKSBURG,US,MD,2148 BALTIMORE BOULEVARD,210480086,,0,0,,False,0,0,0,0,0,0,0,0,0,5,0,0,(410) 848-2042,,,,5,0,0,1,0,0,False,,False,11104,,0,0,0,0,0,0,,False,,False,False,False,False,False,False
5,13-MAY-02,,,False,,A,False,False,False,,SHUMATE ENTERPRISES,1027804,False,3,SHUMATEENTERPRISES@OUTLOOK.COM,False,,False,,True,False,,N,False,0,0,0,0,0,0,False,SHUMATE ENTERPRISES LLC,False,,False,,0,0,0,0,0,0,0,0,0,,OAKLAND,US,CA,PO BOX 22262,94621,19-OCT-22,100,2022.0,False,,False,False,0,0,0,0,0,0,5,CA,False,False,,,False,False,N,OAKLAND,US,CA,8105 EDGEWATER DR,94621,,100,2022,,False,0,0,0,0,0,0,0,0,0,0,0,0,(415) 725-3049,,,,0,0,0,5,0,0,False,,False,11105,1.0,0,0,0,0,0,0,,False,,False,False,False,False,False,False
6,13-MAY-02,,,False,,A,False,False,False,True,477968818,1027808,False,1,WSCOUTON2@YAHOO.COM,False,(218) 652-3747,False,,False,False,,N,False,0,0,0,0,0,0,False,WARREN SCOUTON,False,,False,,0,0,0,0,0,0,0,0,0,,NEVIS,US,MN,21530 COUNTY 2,56467,17-AUG-22,5000,2021.0,False,,False,False,0,0,0,0,0,0,3,MN,False,False,,,False,False,N,NEVIS,US,MN,21530 COUNTY 2,56467,,5000,2021,,False,0,0,0,0,0,0,0,0,0,3,0,0,(218) 255-1100,,,,5,0,0,0,0,0,False,,False,11106,1.0,0,0,0,0,0,0,,False,,False,False,False,False,False,False
7,13-MAY-02,,,False,,C,False,False,False,,,1027814,False,3,ATLASTREESINC@GMAIL.COM,False,(914) 632-0526,False,,False,False,,N,False,0,0,0,0,0,0,False,ATLAS TREE SERVICE INC,False,,False,,0,0,0,0,0,0,0,0,0,,NEW ROCHELLE,US,NY,43 FOURTH ST,10801,14-DEC-21,20000,2021.0,False,,False,False,0,0,0,0,0,0,6,NY,False,False,,,False,False,N,NEW ROCHELLE,US,NY,43 FOURTH ST,10801,,20000,2021,,False,0,0,0,0,0,0,0,0,0,6,0,0,(914) 632-0516,,,,0,0,0,0,0,0,False,,False,11107,1.0,0,0,0,0,0,0,,False,True,False,False,False,False,False,False
8,13-MAY-02,,,False,,C,False,False,False,,MONTE CARLO PRODUCTIONS,1027819,False,4,KEITH@MCPFUN.COM,False,(912) 236-1334,False,,True,False,,N,False,0,0,0,0,0,0,False,THEME PARTIES AND SPECIAL EVENTS,False,,False,,0,0,0,0,0,0,0,0,0,,SAVANNAH,US,GA,309 STILES AVENUE SUITE A,31415,08-JUL-21,2000,2001.0,False,,False,False,0,0,0,0,0,0,3,GA,False,False,,,False,False,N,SAVANNAH,US,GA,309 STILES AVENUE SUITE A,31415,,0,0,,False,0,0,0,0,0,0,0,0,0,3,0,0,(912) 236-0400,,,,0,0,0,0,0,0,False,,False,11108,,0,0,0,0,0,0,,False,,False,False,False,False,False,False
9,13-MAY-02,,,False,,A,False,False,False,,,1027822,False,1,FLORIDAFREIGHTGROUP@GMAIL.COM,False,(678) 712-6014,False,,True,False,,N,False,0,0,0,0,0,0,False,FLORIDA FREIGHT GROUP LLC,False,,False,,0,0,0,0,0,0,0,0,0,,GAINESVILLE,US,FL,1018 NE 22 TERR,32641,12-JAN-22,100000,2022.0,False,,False,False,0,0,0,0,0,0,1,FL,False,False,,,False,False,N,GAINESVILLE,US,FL,1018 NE 22 TERR,32641,,100000,2022,,False,0,0,0,0,0,0,0,0,0,0,0,0,(800) 505-4163,,,,1,0,0,1,0,0,False,,False,11109,1.0,0,0,0,0,0,0,,False,,False,False,False,False,False,False
