,ADD_DATE,BEVERAGES,BOOM,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,CUSTOM CABINETS,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,EMPLOYEE DRIVES HIMSELF TO WORK,FARM SUPPLIES,FAX,FRESH PRODUCE,GENERAL FREIGHT,"GRAIN, FEED, HAY",GRAVEL/ROCK ASPHALT,HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,OUR EQUIPMENT TO JOB ,PAPER PRODUCTS,PASSENGERS,PC_FLAG,"PERMEATE, MILK,CREAM,WHEY BY-PRODUCT",PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,ROAD BLDG MATERIALS,ROCK / DIRT,ROCK DIRT SAND,"SAND, GRAVEL, AND AS",School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,06-FEB-02,False,,,C,False,False,False,,,,1003215,False,1.0,,,False,,False,False,False,,N,False,0,0,0,0,0,0,False,SEA TO SUMMIT ADVENTURES LLC,False,False,,0,0,0,0,0,0,0,0,0,,PORTLAND,US,OR,4128 N MONTANA,97217,07-OCT-13,10000.0,2012.0,False,,False,False,0,0,0,0,0,0,2.0,OR,False,False,,False,True,Y,,PORTLAND,US,OR,4128 N MONTANA,97217,0,0,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(503) 286-9333,0,0,0,0,0,0,False,False,1400,,0,0,0,2,0,0,False,False,False,False,False,False,False
1,06-FEB-02,False,,True,C,False,False,False,,,,1003216,False,4.0,,,False,(262) 538-3923,False,False,False,,N,False,0,0,0,0,0,0,False,MELVIN BURMEISTER EXCAVATING INC,False,False,,0,0,0,0,0,0,0,0,0,,BURLINGTON,US,WI,6320 MCHENRY STREET,53105,15-JAN-04,50000.0,2003.0,False,,False,False,0,0,0,0,0,0,7.0,WI,False,False,,False,False,N,,BURLINGTON,US,WI,6320 MCHENRY STREET,53105,0,0,False,,,,,0,0,0,0,0,0,0,0,0,6,0,0,(262) 539-3923,6,0,0,1,0,0,False,False,1401,,0,0,0,0,0,0,False,False,False,False,False,False,False
2,06-FEB-02,False,,,C,False,False,False,,,BJ MAKARY,1003217,False,1.0,,,False,,False,False,False,,N,False,0,0,0,0,0,0,False,MAKARY BJ,False,False,True,0,0,0,0,0,0,0,0,0,,KEARNS,US,UT,4840 W 5055 S,84118,06-FEB-02,0.0,,False,,False,False,0,0,0,0,0,0,1.0,UT,False,False,,False,False,N,,KEARNS,US,UT,4840 W 5055 S,84118,0,0,False,,,,,0,0,0,0,0,0,0,0,0,1,0,0,(801) 963-8548,1,0,0,0,0,0,False,False,1402,,0,0,0,0,0,0,False,False,False,False,False,False,False
3,06-FEB-02,False,,,B,False,False,False,,,,1003218,False,4.0,DCLARINE @YAHOO.COM,,False,(801) 796-7444,False,True,False,,N,False,0,0,0,0,0,0,False,WHOLESALE FLOORING RESOURCE,False,False,,0,0,0,0,0,0,0,0,0,,LINDON,US,UT,863 W 500 N,84042,02-AUG-05,0.0,,False,,False,False,0,0,0,0,0,0,1.0,UT,False,False,,False,False,N,,LINDON,US,UT,863 W 500 N,84042,0,0,False,,,,,0,0,0,0,0,0,0,0,0,0,1,0,(801) 796-7222,0,0,0,0,0,0,False,False,1403,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,06-FEB-02,False,,True,C,False,False,False,,,STEVE PAINTER HEATING AND AIR,1003220,False,3.0,,,False,(801) 465-2414,False,False,False,,N,False,0,0,0,0,0,0,False,PAINTER STEVE,False,False,,0,0,0,0,0,0,0,0,0,,PAYSON,US,UT,11458 S 5825 W,84651,06-FEB-02,0.0,,False,,False,False,0,0,0,0,0,0,,UT,False,False,,False,False,N,,PAYSON,US,UT,11458 S 5825 W,84651,0,0,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(801) 465-2818,1,0,0,0,0,0,False,False,1404,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,06-FEB-02,False,,,C,False,False,False,True,,,1003222,False,8.0,,,False,,False,False,False,,N,False,0,0,0,0,0,0,False,PATRIOT TRUCK SERVICE INC,False,False,,0,0,0,0,0,0,0,0,0,,WATERFORD,US,WI,P O BOX 231,53185,14-JAN-14,30000.0,2000.0,False,,False,False,0,0,0,0,0,0,8.0,WI,False,False,,False,False,N,,WATERFORD,US,WI,25505 APPLE RD,53185,0,0,False,,,,,0,0,0,0,0,0,0,0,0,8,0,0,(262) 534-4670,0,0,0,0,0,0,False,False,1405,,0,0,0,0,0,0,False,False,False,False,False,False,False
6,06-FEB-02,False,,,C,False,False,False,,,,1003224,False,20.0,PERMA@PERMASTRUCTO.COM,,False,(262) 886-3026,False,False,False,,N,False,0,0,0,0,0,0,False,PERMA STRUCTO INC,False,False,,0,0,0,0,0,0,0,0,0,,STURTEVANT,US,WI,P O BOX 705,53177,18-MAR-22,300000.0,2021.0,False,,False,False,0,0,0,0,0,0,24.0,WI,False,False,True,False,False,N,,STURTEVANT,US,WI,9420 CHARLES STREET,53177,300000,2021,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(262) 886-2258,0,0,0,24,0,0,False,False,1406,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
7,06-FEB-02,False,,True,A,False,False,False,,,,1003225,False,12.0,CHERYL@ACEFABWELD.COM,,False,(801) 392-7412,False,False,False,,N,False,0,0,0,0,0,0,False,ACE FAB AND WELDING MGMT,False,False,,0,0,0,0,0,0,0,0,0,,OGDEN,US,UT,2468 S 1620 W,84401,03-AUG-22,175000.0,2020.0,False,,False,False,0,0,0,0,0,0,10.0,UT,False,False,,False,False,N,,OGDEN,US,UT,2468 S 1620 W,84401,175000,2020,False,,,,,0,0,0,0,0,0,0,0,0,9,1,0,(801) 392-7391,9,0,0,0,0,0,False,False,1407,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,06-FEB-02,False,,,C,False,False,False,True,,R P L TRUCKING,1003226,False,3.0,,,False,,False,False,False,,N,False,0,0,0,0,0,0,False,R P LANDSCAPING AND ASSOCIATES INC,False,False,,0,0,0,0,0,0,0,0,0,,WIND LAKE,US,WI,6855 SETTLER AVENUE,53185,13-SEP-00,0.0,,False,,False,False,0,0,0,0,0,0,4.0,WI,False,False,,False,False,N,,WIND LAKE,US,WI,6855 SETTLER AVENUE,53185,0,0,False,,,,,0,0,0,0,0,0,0,0,0,4,0,0,(262) 895-2621,0,0,0,0,0,0,False,False,1408,,0,0,0,0,0,0,False,False,False,False,False,False,False
9,06-FEB-02,False,,,C,False,False,False,True,,KYLE R COLEMAN DUMP TRUCK SERVICE,1003227,False,1.0,,,False,(435) 386-2033,False,False,False,,N,False,0,0,0,0,0,0,False,COLEMAN R KYLE,False,False,,0,0,0,0,0,0,0,0,0,,MINERSVILLE,US,UT,BOX 266,84752,06-FEB-02,0.0,,False,,False,False,0,0,0,0,0,0,1.0,UT,False,False,,False,False,N,,MINERSVILLE,US,UT,390 S 200 W,84752,0,0,False,,,,,0,0,0,0,0,0,0,0,0,1,0,0,(435) 386-1526,0,0,0,0,0,0,False,False,1409,,0,0,0,0,0,0,False,False,False,False,False,False,False
