,ADD_DATE,AUTOMOBILES,BEVERAGES,BOATS,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DIRT,DIRT AND ASPHALT,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,GENERAL FREIGHT,"GRAIN, FEED, HAY",GROCERIES,HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LAWNCARE BUSINESS ,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,NURSERY STOCK,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PALLETS,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,POLY HAY FEEDERS,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,RUGS,SAND & GRAVEL,SNACK CAKES,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TIRES,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER & SEED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,11-FEB-02,,False,,,A,False,False,False,,,,,1004064,False,1.0,MARTA@ICD-INC.COM,False,(708) 343-8970,False,True,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,,INTERNATIONAL CUTTING DIE INC,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MELROSE PARK,US,IL,2030 JANICE AVE,60160,08-JUN-20,1000.0,1000.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,IL,False,False,,False,False,N,MELROSE PARK,US,IL,2030 JANICE AVE,60160,,0,0,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,(708) 343-3333,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1800,,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,False,False
1,11-FEB-02,,False,,,A,False,False,False,,,,,1004067,False,4.0,CSCHMIDT@SOUTHSIDETIRE.COM,False,(715) 623-6371,False,False,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,,SOUTHSIDE TIRE CO INC,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ANTIGO,US,WI,N2453 HWY 45 S,54409,14-JUN-22,231000.0,2020.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,WI,False,False,,False,False,N,ANTIGO,US,WI,N2453 HWY 45 S,54409,,231000,2020,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,(715) 627-4858,True,1.0,0.0,0.0,1.0,0.0,0.0,False,False,1801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,False,False
2,11-FEB-02,,False,,,C,False,False,False,,SCHILLINGER LIVESTOCK,,,1004069,False,1.0,,False,,False,False,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,,GORDON SCHILLINGER,False,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,TOLEDO,US,WA,879 JACKSON HWY S,98591,11-FEB-02,0.0,,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,WA,False,False,,False,False,N,TOLEDO,US,WA,879 JACKSON HWY S,98591,,0,0,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,(360) 864-2854,,1.0,0.0,0.0,0.0,0.0,0.0,False,False,1802,,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,False,False
3,11-FEB-02,,False,,,C,False,False,False,,,,,1004071,False,15.0,MAIL@HUNGSANFOODS.COM,False,(253) 638-7885,True,False,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,,HUNG SAN FOODS,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,KENT,US,WA,22613 76TH AVE S,98032,21-MAR-19,480000.0,2017.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,WA,False,False,,False,False,N,KENT,US,WA,22613 76TH AVE S,98032,,0,0,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,(253) 638-7880,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1803,,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,False,False
4,11-FEB-02,,False,,,C,False,False,False,,,,,1004075,False,7.0,,False,(863) 533-8821,False,True,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,,CAREY ALL TRANSPORT INC,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,BARTOW,US,FL,835 LILA STREET,33830,14-MAY-03,0.0,,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,FL,False,False,,False,False,N,BARTOW,US,FL,835 LILA STREET,33830,,0,0,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(863) 533-4941,,6.0,4.0,0.0,6.0,0.0,0.0,False,False,1804,,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,False,False
5,11-FEB-02,,False,,,C,False,False,False,,J M LASH TRUCKING,,,1004076,False,1.0,JMLASH@HOTMAIL.COM,False,(217) 756-9055,False,False,True,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,,JOHN MATTHEW LASH,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,FINDLAY,US,IL,2213 N1400 EAST RD,62534,30-JUL-21,8000.0,2018.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,IL,False,False,,False,False,N,FINDLAY,US,IL,2213 N1400 EAST RD,62534,,0,0,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(217) 756-3166,,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1805,,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,False,False
6,11-FEB-02,,False,,,C,False,False,False,True,,,,1004079,False,2.0,,False,(360) 978-5802,False,False,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,,ROD LANG TRUCKING AND EXCAVATION,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ONALASKA,US,WA,600 JORGENSEN RD,98570,11-FEB-02,0.0,,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,WA,False,False,,False,False,N,ONALASKA,US,WA,600 JORGENSEN RD,98570,,0,0,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,(360) 978-4072,,2.0,0.0,0.0,0.0,0.0,0.0,False,False,1806,,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,False,False
7,11-FEB-02,,False,,,A,False,False,False,,,,,1004080,False,50.0,GURJEET@NIJJARTRUCKING.COM,False,(604) 588-4968,False,True,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,,NIJJAR TRUCKING LTD,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SURREY,CA,BC,12829 116 AVENUE,V3R 2S5,30-SEP-22,6677565.0,2021.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,42.0,,WA,False,False,,False,False,N,SURREY,CA,BC,12829 116 AVENUE,V3R 2S5,,6677565,2021,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(604) 582-1218,,110.0,0.0,0.0,30.0,12.0,0.0,False,False,1807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,False,False
8,11-FEB-02,,False,,,C,False,False,False,,,,,1004083,False,1.0,JAMESROGER392@GMAIL.COM,False,,False,False,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,,JAMES ROGERS TRUCKING,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CARNESVILLE,US,GA,2276 KESLER RD,30521,01-MAR-20,30000.0,2019.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,GA,False,False,,False,False,N,CARNESVILLE,US,GA,2276 KESLER RD,30521,,0,0,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(706) 244-2182,,1.0,0.0,0.0,1.0,0.0,0.0,False,False,1808,,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,False,False
9,11-FEB-02,,False,,,A,False,False,False,,WILLIAMS SEED,,,1004084,False,2.0,DAVEWMS@SANTEL.NET,False,(605) 996-8037,False,False,True,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,,DAVE E WILLIAMS,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MITCHELL,US,SD,2851 S HWY 37,57301,22-APR-22,6000.0,2021.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,SD,False,False,,False,False,N,MITCHELL,US,SD,2851 S HWY 37,57301,,6000,2021,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(605) 996-4422,,5.0,0.0,0.0,2.0,0.0,0.0,False,False,1809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,False,False,False,False
