,ADD_DATE,"AGGREGATES, SAND",BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,CLAY TARGETS EQUIPMENT,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,"DIRT,SAND,GRAVEL,ASP",DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,EQUIPMENT,EXERCISE EQUIP,FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,GOLF CARTS BROCHURES GIFTS,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INDUSTRIAL BATTERY AND CHARGERS,INT TRADE EQUIP,INTERMODAL CONTAINERS,LANDSCAPE,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MILK,MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PRESSURE WASHER,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,SOUND EQUIPMENT,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TOOLS,TOOLS PARTS,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WASTE WATER,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,13-FEB-02,,False,,C,False,,False,False,,STEPHEN HANSEN,,1004542,False,2,,,,False,,False,,False,,True,N,False,0,0,0,0,0,0,,,False,,STEPHEN D HANSEN,False,False,,0,0,0,0,0,0,0,0,0,,MINDEN,US,NE,986 H ROAD,68959,,0.0,,False,,,False,False,0,0,0,0,0,0,1.0,NE,False,False,False,False,N,MINDEN,US,NE,986 H ROAD,68959,,0,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,(308) 832-2804,,,1,0,0,1,0,0,False,False,2000,,0,0,0,0,0,0,,False,False,False,False,False,False,False
1,13-FEB-02,,False,,C,False,,False,True,,,,1004545,False,1,,,,False,,False,,False,,False,N,False,0,0,0,0,0,0,,,False,,RANDALL B RETZLAFF,False,False,,0,0,0,0,0,0,0,0,0,,NEW LONDON,US,WI,700 W BEACON AVENUE,54961,12-NOV-01,0.0,,False,,,False,False,0,0,0,0,0,0,1.0,WI,False,False,False,False,N,NEW LONDON,US,WI,700 W BEACON AVENUE,54961,,0,0,False,,0,0,0,0,0,0,0,0,0,1,0,0,(920) 982-3869,,,0,0,0,0,0,0,False,False,2001,,0,0,0,0,0,0,,False,False,False,False,False,False,False
2,13-FEB-02,,False,True,A,False,,False,False,,BEBERGS LANDSCAPE SUPPLY & BEBERG OUTDOORS,,1004549,False,3,CHRIS@BEBERGLANDSCAPE.COM,,,False,(763) 862-3848,False,,False,,False,N,False,0,0,0,0,0,0,,,False,,BEBERG LANDSCAPE NURSERY CO,False,False,,0,0,0,0,0,0,0,0,0,,ANDOVER,US,MN,13535 GROUSE ST NW,55304,03-OCT-22,30000.0,2021.0,False,,,False,False,0,0,0,0,0,0,2.0,MN,False,False,False,False,N,ANDOVER,US,MN,13535 GROUSE ST NW,55304,,30000,2021,False,,0,0,0,0,0,0,0,0,0,2,0,0,(763) 862-0400,,,2,0,0,0,0,0,False,False,2002,1.0,0,0,0,0,0,0,,False,False,False,False,False,False,False
3,13-FEB-02,,False,,C,False,,False,False,,JOHN G LANG TRENCHING II,,1004550,False,1,,,,False,,False,,False,,False,N,False,0,0,0,0,0,0,,,False,,JOHN G LANG,False,False,,0,0,0,0,0,0,0,0,0,True,WAUPACA,US,WI,11020 DURRANT ROAD,54981,17-DEC-01,10000.0,2000.0,False,,,False,False,0,0,0,0,0,0,1.0,WI,False,False,False,False,N,WAUPACA,US,WI,11020 DURRANT ROAD,54981,,0,0,False,,0,0,0,0,0,0,0,0,0,1,0,0,(715) 256-0223,,,1,0,0,0,0,0,False,False,2003,,0,0,0,0,0,0,,False,False,False,False,False,False,False
4,13-FEB-02,,False,,A,False,,False,False,,,,1004551,False,1,EXPOLTRUCKINGINC@GMAIL.COM,,,False,,False,,True,,False,N,False,0,0,0,0,0,0,,,False,,EXPOL TRUCKING INC,False,False,,0,0,0,0,0,0,0,0,0,,LEMONT,US,IL,18W432 91ST ST,60439,15-MAR-22,1.0,2021.0,False,,,False,False,0,0,0,0,0,0,1.0,IL,False,False,False,False,N,LEMONT,US,IL,18W432 91ST ST,60439,,1,2021,False,,0,0,0,0,0,0,0,0,0,0,0,0,(773) 865-3511,,,1,0,0,1,0,0,False,False,2004,1.0,0,0,0,0,0,0,,False,False,False,False,False,False,False
5,13-FEB-02,,False,,C,False,,False,False,True,MANAWA HOME BUILDERS,,1004553,False,1,,,,False,(920) 596-3106,False,,False,,False,N,False,0,0,0,0,0,0,,,False,,RONALD D FUHS,False,False,,0,0,0,0,0,0,0,0,0,,MANAWA,US,WI,E6782  BUTTERNUT ROAD,54949,31-JAN-02,0.0,,False,,,False,False,0,0,0,0,0,0,1.0,WI,False,False,False,False,N,MANAWA,US,WI,E6782  BUTTERNUT ROAD,54949,,0,0,False,,0,0,0,0,0,0,0,0,0,1,0,0,(920) 596-3206,,,0,0,0,0,0,0,False,False,2005,,0,0,0,0,0,0,,False,False,False,False,False,False,False
6,13-FEB-02,,False,,C,False,,False,False,,BILL CHADY TRUCKING,,1004555,False,1,,,,False,,False,,False,,False,N,False,0,0,0,0,0,0,,,False,,WILLIAM CHADY,False,False,,0,0,0,0,0,0,0,0,0,,OGDENSBURG,US,WI,N8330 CAMPBELL LAKE ROAD,54962,08-NOV-04,120000.0,2003.0,False,,True,False,False,0,0,0,0,0,0,1.0,WI,False,False,False,False,N,OGDENSBURG,US,WI,N8330 CAMPBELL LAKE ROAD,54962,,0,0,False,,0,0,0,0,0,0,0,0,0,1,0,0,(920) 244-7805,,,0,0,0,0,0,0,False,False,2006,,0,0,0,0,0,0,,False,False,False,False,False,False,False
7,13-FEB-02,,False,,B,False,,False,False,,,,1004557,False,2,JAMESJRTOW@AOL.COM,,,False,(561) 842-2171,False,,False,,False,N,False,0,0,0,0,0,0,,,False,,JAMES JR TOWING INC,False,False,,0,0,0,0,0,0,0,0,0,,WEST PALM BEACH,US,FL,932 30 STREET,33407,18-AUG-21,9000.0,2020.0,False,,,False,True,0,0,0,0,0,0,4.0,FL,False,False,False,False,N,WEST PALM BEACH,US,FL,932 30 STREET,33407,,9000,2020,False,,0,0,0,0,0,0,0,0,0,3,0,0,(561) 842-5929,,,1,0,0,1,0,0,False,False,2007,1.0,0,0,0,0,0,0,,False,False,False,False,False,False,False
8,13-FEB-02,,False,,A,False,,False,False,,,,1004558,False,11,KEVIN.KURTZWEIL@CWECOOP.COM,,,False,(715) 677-4333,False,,False,,False,N,False,0,0,0,0,0,0,,,False,,CENTRAL WISCONSIN ELECTRIC COOPERATIVE,False,False,True,0,0,0,0,0,0,0,0,0,,ROSHOLT,US,WI,P O BOX 100,54473,18-NOV-21,231625.0,2019.0,False,,,False,False,0,0,0,0,0,0,9.0,WI,False,False,False,False,N,ROSHOLT,US,WI,10401 LYSTUL ROAD,54473,,231625,2019,False,,0,0,0,0,0,0,0,0,0,8,0,0,(715) 677-2211,,,2,0,0,1,0,0,False,False,2008,1.0,0,0,0,0,0,0,,False,False,False,False,False,False,False
9,13-FEB-02,,False,,C,False,,False,False,,BECKMAN AND SONS DISTRIBUTING,,1004560,False,2,,,,False,,False,,False,,False,N,False,0,0,0,0,0,0,,,False,,JOSEPH BECKMAN,False,False,,0,0,0,0,0,0,0,0,0,,WAUPACA,US,WI,E1266 HWY 54,54981,26-DEC-01,10000.0,2001.0,False,,,False,False,0,0,0,0,0,0,1.0,WI,False,False,False,False,N,WAUPACA,US,WI,E1266 HWY 54,54981,,0,0,True,,0,0,0,0,0,0,0,0,0,1,0,0,(715) 258-2318,,,0,0,0,0,0,0,False,False,2009,,0,0,0,0,0,0,,False,False,False,False,False,False,False
