,ADD_DATE,BEVERAGES,BOTTLED WATER,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,EMPTY TRAILERS,FARM SUPPLIES,FAX,FRESH PRODUCE,GENERAL FREIGHT,"GRAIN, FEED, HAY",GRANITE PRODUCTS,HARDWOOD FLOORS,HM_FLAG,HOUSEHOLD GOODS,HUMAN WASTE,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OFFICE FURNITURE,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,SCAFFOLDING,SEPTIC TANKS,SMALL MACHINERY,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TRAFFIC CONTROL,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,UTILITY TRAILERS,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,WOOD CHIPS,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,20-FEB-02,False,,,A,False,False,False,,,1005749,False,2,DELTATHOELPASO@HOTMAIL.COM,,False,(915) 852-0793,False,True,False,,,N,False,,0,0,0,0,0,0,False,TRIPLE A TRUCKING INC,False,False,,0,0,0,0,0,0,0,0,0,,EL PASO,US,TX,2013 SEA COVE DR,79936,05-OCT-22,120413.0,2022.0,False,,False,False,0,0,0,0,0,0,2.0,,NM,False,False,False,False,N,ANTHONY,US,NM,2515 W OHARA,88021,120413,2022,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(915) 727-0444,,1,0,0,2,0,0,False,False,,2500,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
1,20-FEB-02,False,,,C,False,False,False,,RICK'S TRUCKING,1005752,False,1,,,False,,False,True,False,,,N,False,,0,0,0,0,0,0,False,RICHARD M SPOERL SR,False,False,,0,0,0,0,0,0,0,0,0,,ASHLAND,US,NE,520 COUNTY ROAD ELEVEN,68003,,0.0,,False,,False,False,0,0,0,0,0,0,1.0,,NE,False,False,False,False,N,ASHLAND,US,NE,520 COUNTY ROAD ELEVEN,68003,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(402) 944-3361,,0,0,0,1,0,0,False,False,,2501,,0,0,0,0,0,0,False,,False,False,False,False,False,False
2,20-FEB-02,False,,,B,False,False,False,,HOWARDS SEPTIC TANK SERV,1005754,False,1,,,False,,False,False,False,,,N,False,True,0,0,0,0,0,0,False,JOHNNY L HOWARD SR,False,False,,0,0,0,0,0,0,0,0,0,,RED BOILING SPRINGS,US,TN,326 PICKETT RD,37150,11-DEC-01,10000.0,2000.0,False,,False,False,0,0,0,0,0,0,1.0,,TN,False,False,False,False,N,RED BOILING SPRINGS,US,TN,326 PICKETT RD,37150,10000,2000,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(615) 699-4357,,0,0,0,0,0,0,False,False,,2502,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
3,20-FEB-02,False,,,C,False,False,False,,HANDY ANDY BUILDING SUPPLY,1005755,False,3,JEFF.EDWARDS@NCTV.COM,,False,(866) 398-5922,False,False,False,,,N,False,,0,0,0,0,0,0,False,HANDYMAN'S HOME CENTER INC,False,False,,0,0,0,0,0,0,0,0,0,,VIDALIA,US,GA,PO BOX 1064,30475,05-JAN-22,65000.0,2022.0,False,True,False,False,0,0,0,0,0,0,3.0,,GA,False,False,False,False,N,HAZLEHURST,US,GA,11 NORTH TALLAHASSEE ST,31539,65000,2022,False,,,,0,0,0,0,0,0,0,0,0,3,0,0,(912) 375-5844,,0,0,0,0,0,0,False,False,,2503,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
4,20-FEB-02,False,,,C,False,False,False,,,1005756,False,9,JMOSELEY@INDWELLCORP.COM,,False,,False,False,False,,,N,False,,0,0,0,0,0,0,False,INDWELL STAFFING CORPORATION,False,False,,0,0,0,0,0,0,0,0,0,,ATLANTA,US,GA,200 GALLERIA PKWY SUITE 440,30339,,400000.0,2001.0,False,,False,False,0,0,0,0,0,0,,,GA,False,False,False,True,N,ATLANTA,US,GA,200 GALLERIA PKWY SUITE 440,30339,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,False,False,,2504,,0,0,0,0,0,0,False,,False,False,False,False,False,False
5,20-FEB-02,False,,,C,False,False,False,,J & A TRANSPORT,1005757,False,1,,,False,,False,True,False,,,N,False,,0,0,0,0,0,0,False,JAMES M DUNCAN,False,False,,0,0,0,0,0,0,0,0,0,,CONYERS,US,GA,574 CREEKWOOD COURT,30094,,0.0,,False,,False,False,0,0,0,0,0,0,1.0,,GA,False,False,False,False,N,CONYERS,US,GA,574 CREEKWOOD COURT,30094,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(678) 641-2926,,0,0,0,0,0,0,False,False,,2505,,0,0,0,0,0,0,False,,False,False,False,False,False,False
6,20-FEB-02,False,,,C,False,False,False,,VILLINES MOBILE HOME SERVICE,1005760,False,1,,,False,(417) 752-1804,False,False,False,,,N,False,,0,0,0,0,0,0,False,OTIS VILLINES,False,False,,0,0,0,0,0,0,0,0,0,,LOUISBURG,US,MO,R R 1 BOX 845,65685,,0.0,,False,,True,False,0,0,0,0,0,0,1.0,,MO,False,False,False,False,N,LOUISBURG,US,MO,R R 1,65685,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(417) 345-2764,,0,0,0,1,0,0,False,False,,2506,,0,0,0,0,0,0,False,,False,False,False,False,False,False
7,20-FEB-02,False,,,C,False,False,False,,,1005762,False,3,,,False,,False,False,False,,,N,False,,0,0,0,0,0,0,False,JR LAWN SPRINKLERS INC,False,False,,0,0,0,0,0,0,0,0,0,True,LAWRENCEVILLE,US,GA,875 HIRAM DAVIS RD,30045,,0.0,,False,,False,False,0,0,0,0,0,0,2.0,,GA,False,False,False,False,N,LAWRENCEVILLE,US,GA,875 HIRAM DAVIS RD,30045,0,0,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(678) 377-6295,,0,0,0,0,0,0,False,False,,2507,,0,0,0,0,0,0,False,,False,False,False,False,False,False
8,20-FEB-02,False,,,C,False,False,False,True,,1005763,False,1,LOXLEYMORRIS3829@COMCAST.NET,,False,(770) 648-6141,False,False,False,,,N,False,,0,0,0,0,0,0,False,LCM TRUCKING INC,False,False,,0,0,0,0,0,0,0,0,0,,CONYERS,US,GA,PO BOX 332,30012,26-DEC-18,80000.0,2017.0,False,,False,False,0,0,0,0,0,0,1.0,,GA,False,False,False,False,N,CONYERS,US,GA,3829 DIAL MILL ROAD,30013,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(770) 668-4082,,0,0,0,0,0,0,False,False,,2508,,0,0,0,0,0,0,False,,False,False,False,False,False,False
9,20-FEB-02,False,,,A,False,False,False,,JAMROCK TRANSPORTATION RESOURCES INC,1005768,False,1,CRONINOGILVIE@MSN.COM,,False,(678) 526-8223,False,True,False,,,N,False,,0,0,0,0,0,0,False,CRONIN W HUTCHINSON,False,False,,0,0,0,0,0,0,0,0,0,,LITHONIA,US,GA,6370 PAWLEYS ISLE,30058,14-AUG-22,31410.0,2020.0,False,,False,False,0,0,0,0,0,0,1.0,,GA,False,False,False,False,N,LITHONIA,US,GA,6370 PAWLEYS ISLE,30058,31410,2020,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(678) 526-8223,,0,0,0,1,0,0,False,False,,2509,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
