,ADD_DATE,AGGREGATES,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,CHICKEN PARTS,"CHICKEN, CORN, ETC","COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,CONSTRUCTION DEMOLITION DEBRIS,CRANE,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,"EQUIPMENT, TOOLS",FARM SUPPLIES,FAX,FIBERGLASS UNITS,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",HAND TOOLS,HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PLUMBING PIPE/FITTING,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,SIGNS,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TOOLS; GRINDERS,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UNSPECIFIED,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,05-MAR-02,,False,,B,False,,,False,False,,,,,1008750,False,5.0,,,False,(561) 996-4207,,False,,True,False,,N,False,1,0,0,0,0,0,False,W E SCHLECHTER & SONS INC,False,False,,0,0,0,0,0,0,0,0,0,,BELLE GLADE,US,FL,POST OFFICE BOX 373,33430,24-AUG-04,30000.0,2001.0,False,,False,False,1,0,0,0,0,0,4.0,FL,False,False,False,False,Y,BELLE GLADE,US,FL,BROWNS FARM ROAD,33430,,30000,2001,False,,0,0,0,1,0,0,0,0,0,0,0,0,(561) 996-7408,,0,0,0,2,0,0,False,,False,3700,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
1,05-MAR-02,,False,,A,False,,,False,False,,,,,1008752,False,8.0,SUSAN.MC@CARWASHSYSTEMSINC.COM,,False,(717) 545-9654,,False,,True,False,,N,False,0,0,0,0,0,0,False,CAR WASH SYSTEMS INC,False,False,,0,0,0,0,0,0,0,0,0,,HARRISBURG,US,PA,7604 ALLENTOWN BLVD,17112,15-JAN-21,1210.0,2019.0,False,,False,False,0,0,0,0,0,0,2.0,PA,False,False,False,False,N,HARRISBURG,US,PA,7604 ALLENTOWN BLVD,17112,,1210,2019,False,,0,0,0,0,0,0,0,0,0,2,0,0,(717) 545-9393,,0,0,0,0,0,0,False,,False,3701,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
2,05-MAR-02,,False,,C,False,,,False,False,,,,,1008754,False,1.0,,,False,,,False,,True,False,,N,False,0,0,0,0,0,0,False,COCKNEY REBEL INC,False,False,,0,0,0,0,0,0,0,0,0,,ST PETERSBURG,US,FL,211 55TH AVE,33706,01-MAR-02,0.0,,False,,False,False,0,0,0,0,0,0,1.0,FL,False,False,False,False,N,ST PETERSBURG,US,FL,211 55TH AVE,33706,,0,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,(727) 363-8462,,1,0,0,1,0,0,False,,False,3702,,0,0,0,0,0,0,False,False,False,False,False,False,False
3,05-MAR-02,,False,True,C,False,,,False,False,,,,,1008760,False,1.0,,,False,,,False,,False,False,,N,False,0,0,0,0,0,0,False,ANTHONY J ZEMKO,False,False,,0,0,0,0,0,0,0,0,0,,CAPE CORAL,US,FL,9865 CREEKWOOD LANE,33905,25-FEB-02,15000.0,2001.0,False,,False,False,0,0,0,0,0,0,1.0,FL,False,False,False,False,N,CAPE CORAL,US,FL,9865 CREEKWOOD LANE,33905,,0,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,(941) 357-6154,,0,0,0,0,1,0,False,,False,3703,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,05-MAR-02,,False,,C,False,,,False,False,True,,,,1008762,False,5.0,,,False,(435) 723-0502,,False,,False,False,,N,False,0,0,0,0,0,0,False,NORTH STATE CONCRETE INC,False,False,,0,0,0,0,0,0,0,0,0,,BRIGHAM CITY,US,UT,385 W 600 N,84302,12-FEB-04,0.0,,False,,False,False,0,0,0,0,0,0,5.0,UT,False,False,False,False,N,BRIGHAM CITY,US,UT,385 W 600 N,84302,,0,0,False,,0,0,0,0,0,0,0,0,0,5,0,0,(435) 723-2938,,2,0,0,0,0,0,False,,False,3704,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,05-MAR-02,,False,,A,False,,,False,False,,,,ALL AMERICAN CLEANING & RESTORATION LLC,1008764,False,8.0,TWAACRIF@IDA.NET,,False,(208) 523-2757,,False,True,False,False,,N,False,0,0,0,0,0,0,False,MICHAEL J DAVIS,False,False,,0,0,0,0,0,0,0,0,0,,IDAHO FALLS,US,ID,PO BOX 2588,83403,19-APR-22,17000.0,2020.0,False,,False,False,0,0,0,0,0,0,6.0,ID,False,False,False,False,N,IDAHO FALLS,US,ID,3810 N YELLOWSTONE HWY,83401,,17000,2020,False,,0,0,0,0,0,0,0,0,0,6,0,0,(208) 529-8179,,4,0,0,0,0,0,False,,False,3705,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
6,05-MAR-02,,False,,A,False,,,False,False,,,,,1008773,False,3.0,TRTERREL@SBCGLOBAL.NET,,False,,,False,,True,False,,N,False,0,0,0,0,0,0,False,R T LAND & CATTLE LLC,False,False,,0,0,0,0,0,0,0,0,0,,SABETHA,US,KS,2517 X4 ROAD,66534-9479,13-JAN-21,8778.0,2020.0,False,,False,False,0,0,0,0,0,0,3.0,KS,False,False,False,False,N,SABETHA,US,KS,2517 X4 ROAD,66534-9479,,8778,2020,False,,0,0,0,0,0,0,0,0,0,0,0,0,(785) 284-2951,,8,0,0,3,0,0,False,,False,3706,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
7,05-MAR-02,,False,,A,False,,,False,False,,,,ASPHAL PLUS SEALCOATING,1008779,False,2.0,C_ANFANG@YAHOO.COM ,,False,(715) 262-0078,,False,,True,False,,N,False,0,0,0,0,0,0,False,ANFANG'S ASPHALT PLUS,False,False,,0,0,0,0,0,0,0,0,0,,PRESCOTT,US,WI,1266 ASH ST,54021,18-DEC-21,20000.0,2017.0,False,,False,False,0,0,0,0,0,0,3.0,WI,False,False,False,False,N,PRESCOTT,US,WI,1266 ASH ST,54021,,20000,2017,False,,0,0,0,0,0,0,0,0,0,3,0,0,(651) 246-9010,,1,0,0,0,0,0,False,,False,3707,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,01-JUN-74,,False,True,C,False,,,False,False,,,,,100878,False,36.0,LUKEM@THEUTPRODUCTSINC.COM,,False,(586) 752-5231,,False,,False,False,,N,False,0,0,0,0,0,0,False,THEUT PRODUCTS INC,False,False,,0,0,0,0,0,0,0,0,0,,ROMEO,US,MI,73408 VAN DYKE,48065,25-JUL-22,400000.0,2022.0,False,,False,False,0,0,0,0,0,0,56.0,MI,False,False,False,False,N,ROMEO,US,MI,73408 VAN DYKE,48065,,400000,2022,False,,0,0,0,0,0,0,0,0,0,49,0,0,(586) 752-4541,,14,0,0,7,0,0,False,,False,3708,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
9,05-MAR-02,,False,,A,False,,,False,False,,,,DEAN'S DELIVERY LLC,1008783,False,2.0,DEANOT01@YAHOO.COM,,False,,,False,,True,False,,N,False,0,0,0,0,0,0,False,DONALD DEAN TONARELLI,False,False,,0,0,0,0,0,0,0,0,0,,ANNAPOLIS,US,MD,850 CHESTNUT TREE DR,21409-5117,15-APR-22,126700.0,2021.0,False,,False,False,0,0,0,0,0,0,2.0,MD,False,False,False,False,N,ANNAPOLIS,US,MD,850 CHESTNUT TREE DR,21409-5117,,126700,2021,False,,0,0,0,0,0,0,0,0,0,2,0,0,(410) 757-8177,,0,0,0,0,0,0,False,,False,3709,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
