,ADD_DATE,AGGREGATES,ASPHALT,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,COMPANY PICKUP TRUCKS,CONCESSION FOOD,CONSTRUCTION,CONSTRUCTION MATERIALS,DBA_NAME,DIRT ,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FLOWERS,FRESH PRODUCE,FUEL OIL,FURNITURE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,NUCLEAR MEDICINE,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,ROCK,SAND PRODUCTS,SAND STONE DIRT,SERVICE TOOLS,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TIRES,TOOLS,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,13-MAR-02,,,False,,C,False,False,False,,,,,,,1011561,False,1.0,,False,(541) 584-2653,,False,,,,False,False,N,False,0,0,0,0,0,0,False,GRAY'S BACKHOE SERVICE INC,False,False,,0,0,0,0,0,0,0,0,0,,OAKLAND,US,OR,2493 MEHL CREEK RD,97462,28-DEC-01,0,,False,,False,False,0,0,0,0,0,0,1,,OR,False,False,False,False,N,OAKLAND,US,OR,2493 MEHL CREEK RD,97462,0,0,False,True,,,,0,0,0,0,0,0,0,0,0,1,0,0,(541) 584-2652,,,1,0,0,0,0,0,False,False,4900,,0,0,0,0,0,0,False,False,False,False,False,False,False
1,14-MAR-02,,,False,,C,False,False,False,,,,,,,1011566,False,2.0,JAMESPIKE@BELLSOUTH.NET,False,(706) 531-0020,True,False,,,,False,False,N,False,0,0,0,0,0,0,False,LANDSCAPERS SELECT INC,False,False,,0,0,0,0,0,0,0,0,0,,POWDER SPRINGS,US,GA,4510 MORRISON ROAD,30127,23-SEP-22,20000,2022.0,False,,False,False,0,0,0,0,0,0,2,,GA,False,False,False,False,N,DAHLONEGA,US,GA,3271 SHEEP WALLOW RD,30533-9135,20000,2022,False,,,,,0,0,0,0,0,0,0,0,0,2,0,0,(706) 531-0010,,,0,0,0,0,0,0,False,False,4901,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
2,14-MAR-02,,,False,,B,False,False,False,,,,,SANTANA HEATING OIL,,1011569,False,1.0,,False,,,False,True,,,False,False,N,False,0,0,0,1,0,0,False,LUIS M SANTANA,False,False,,0,0,0,0,0,0,0,0,0,,CAMDEN,US,NJ,298 VINE ST,08102,23-OCT-01,0,,False,,False,False,0,0,0,0,0,0,1,,NJ,False,False,False,False,N,CAMDEN,US,NJ,298 VINE ST,08102,0,0,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(856) 964-2458,,,0,0,0,0,0,0,False,False,4902,,0,0,0,0,0,0,False,False,False,False,False,False,False
3,14-MAR-02,,,False,,A,False,False,False,,,,,,,1011570,False,1.0,RICHARD@BOYERSTEEL.COM,False,(586) 541-8363,,False,,,,False,False,N,False,0,0,0,0,0,0,False,BOYER STEEL INC,False,False,,0,0,0,0,0,0,0,0,0,,WARREN,US,MI,26532 GROESBECK HIGHWAY,48089,23-AUG-21,52175,2020.0,False,True,False,False,0,0,0,0,0,0,2,,MI,False,False,False,False,N,WARREN,US,MI,26532 GROESBECK HIGHWAY,48089,52175,2020,False,,,,,0,0,0,0,0,0,0,0,0,0,2,0,(586) 541-8355,,,0,0,0,0,0,0,False,False,4903,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
4,14-MAR-02,,,False,,C,False,False,False,True,,,,ORIGINATION INC,,1011574,False,2.0,INFO@ORIGINATIONOZD.COM,False,(651) 777-8939,,False,,,,False,False,N,False,0,0,0,0,0,0,False,FEED PRODUCTS NORTH INC,False,False,,0,0,0,0,0,0,0,0,0,,MAPLEWOOD,US,MN,1300 MCKNIGHT RD NORTH,55119,14-JUN-17,1,2016.0,False,,False,False,0,0,0,0,0,0,1,,MN,False,False,False,False,N,MAPLEWOOD,US,MN,1300 MCKNIGHT RD NORTH,55119,0,0,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(651) 777-3132,,,1,0,0,1,0,0,False,False,4904,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,14-MAR-02,,,False,,A,False,False,False,,,,,,,1011585,False,15.0,IESTOWING@COMCAST.NET,False,,,False,,,,True,False,N,False,0,0,0,0,0,0,False,INTERSTATE EMERGENCY SERVICES INC,False,False,,0,0,0,0,0,0,0,0,0,,BEDFORD,US,PA,171 TRANSPORT ST,15522,12-APR-22,213132,2020.0,False,,False,False,0,0,0,0,0,0,13,,PA,False,False,False,False,N,BEDFORD,US,PA,171 TRANSPORT ST,15522,213132,2020,False,,,,,0,0,0,0,0,0,0,0,0,11,0,0,(814) 623-2894,,,5,0,0,2,0,0,False,False,4905,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
6,14-MAR-02,,,False,,A,False,False,False,,,,,,,1011586,False,1.0,DALBECAJ@GMAIL.COM,False,,,False,,,,True,False,N,False,0,0,0,0,0,0,False,DALBEC TRANSPORT LLC,False,False,,0,0,0,0,0,0,0,0,0,,PITTSFIELD,US,NH,434 DOWBORO ROAD,03263,29-JUL-22,40000,2021.0,False,,False,False,0,0,0,0,0,0,2,,NH,False,False,False,False,N,PITTSFIELD,US,NH,434 DOWBORO ROAD,03263,40000,2021,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(603) 234-0152,,,0,0,0,2,0,0,False,False,4906,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
7,14-MAR-02,,,False,True,C,False,False,False,,,,,,,1011591,False,33.0,KELLEYAP.ALPHA@HOTMAIL.COM,False,(951) 275-8922,,False,,,,False,False,N,False,0,0,0,0,0,0,False,ALPHA MATERIALS INC,False,False,,0,0,0,0,0,0,0,0,0,,JURUPA VALLEY,US,CA,6170 20TH STREET,92509,10-JAN-21,1400000,2020.0,False,,False,False,0,0,0,0,0,0,38,,CA,False,False,False,False,N,JURUPA VALLEY,US,CA,6170 20TH STREET,92509,1400000,2020,False,,,,,0,0,0,0,0,0,0,0,0,25,0,0,(951) 275-8920,,,37,0,0,13,0,0,False,False,4907,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,14-MAR-02,,,False,,A,False,False,False,,,,,,,1011597,False,1.0,JANICE@NASHVILLEWELDING.COM,False,(252) 243-5229,,False,,,,True,False,N,False,0,0,0,0,0,0,False,NASHVILLE WELDING & MACHINE WORKS INC,False,False,,0,0,0,0,0,0,0,0,0,,WILSON,US,NC,2356 FIRESTONE PKWY,27893,08-SEP-21,1,2020.0,False,,False,False,0,0,0,0,0,0,1,,NC,False,False,False,False,N,WILSON,US,NC,2356 FIRESTONE PKWY,27893,1,2020,False,,,,,0,0,0,0,0,0,0,0,0,1,0,0,(252) 243-0113,,,0,0,0,0,0,0,False,False,4908,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
9,14-MAR-02,,,False,,A,False,False,False,,,,,,,1011603,False,7.0,OFFICE@EXCELDISPOSAL.COM,False,(262) 605-1493,,False,,,True,False,False,N,False,0,0,0,0,0,0,False,EXCEL DISPOSAL LLC,False,False,,0,0,0,0,0,0,0,0,0,,KENOSHA,US,WI,5817 46TH ST,53144,18-JAN-22,191830,2019.0,False,,False,False,0,0,0,0,0,0,9,,WI,False,False,False,False,N,KENOSHA,US,WI,5817 46TH ST,53144,303561,2022,False,,,,,0,0,0,0,0,0,0,0,0,9,0,0,(262) 657-0575,,,0,0,0,0,0,0,False,False,4909,3.0,0,0,0,0,0,0,False,False,False,False,False,False,False
