,ADD_DATE,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONCRETE PRODUCTS,CONSTRUCTION,DBA_NAME,DONATED FOOD,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,EXPLOSIVES,FARM SUPPLIES,FAX,FRESH PRODUCE,FURNITURE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LAWNMOWERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,"NEW CARGO TRAILERS WITH A GVW OF 10,000LBS",NEW TIRES,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,SAND,SCRAP PLASTIC,SEPTIC WASTE,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TREES AND SHRUBS,TRUCK PARTS,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,18-MAR-02,False,,C,False,False,False,,,,,1012403,False,1,,,False,,False,,True,False,False,N,False,0,0,0,0,0,0,False,,ANNAPOLIS SEPTIC,False,False,,0,0,0,0,0,0,0,0,0,,FRIENDSHIP,US,MD,6742 OLD SOLOMONS ISLAND,20758,18-MAR-02,40000.0,2001.0,False,,False,False,0,0,0,0,0,0,1.0,,,MD,False,False,False,False,N,FRIENDSHIP,US,MD,6742 OLD SOLOMONS ISLAND ROAD,20758,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(410) 224-2461,,,0,0,0,0,0,0,False,False,5300,,0,0,0,0,0,0,False,False,False,False,False,False,False
1,18-MAR-02,False,,A,False,False,False,,,MORRIS TRUCKING,,1012405,False,1,GARYHMORRIS@HOTMAIL.COM,,False,,False,,,True,False,N,False,0,0,0,0,0,0,False,,GARY MORRIS,False,False,,0,0,0,0,0,0,0,0,0,,GATEWOOD,US,MO,448 RIPLEY ROUTE DD,63942,02-SEP-22,129252.0,2021.0,False,,False,False,0,0,0,0,0,0,1.0,,,MO,False,False,False,False,N,GATEWOOD,US,MO,448 RIPLEY ROUTE DD,63942,129252,2021,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(573) 255-3253,,,1,0,0,1,0,0,False,False,5301,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
2,18-MAR-02,False,,A,False,False,False,,,MEIER FARM,,1012406,False,2,URSULAMEIER66@YAHOO.COM,,False,,False,,,False,True,N,False,0,0,0,0,0,0,False,,JOHN ALFRED MEIER,False,False,,0,0,0,0,0,0,0,0,0,,JUDA,US,WI,W3880 CARTER ROAD,53550,17-APR-20,4000.0,2018.0,False,,False,False,0,0,0,0,0,0,2.0,,,WI,False,False,False,False,N,JUDA,US,WI,W3880 CARTER ROAD,53550,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(608) 934-5278,,,2,0,0,2,0,0,False,False,5302,,0,0,0,0,0,0,False,False,False,False,False,False,False
3,18-MAR-02,False,,C,False,False,False,,,,,1012408,False,1,,,False,,False,,,False,True,N,False,0,0,0,0,0,0,False,,KASTER DEAN F,False,False,,0,0,0,0,0,0,0,0,0,,BROWNTOWN,US,WI,N1726 HWY M,53522,16-NOV-99,0.0,,False,,False,False,0,0,0,0,0,0,1.0,,,WI,False,False,False,False,N,BROWNTOWN,US,WI,N1726 HWY M,53522,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,False,False,5303,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,18-MAR-02,False,,C,False,False,False,,,SENG TRUST,,1012415,False,1,,,False,,False,,,False,True,N,False,0,0,0,0,0,0,False,,TERRY SENG,False,False,,0,0,0,0,0,0,0,0,0,,PLATTEVILLE,US,WI,7515 SHADY ROAD,53818-9334,19-NOV-99,0.0,,False,,False,False,0,0,0,0,0,0,1.0,,,WI,False,False,False,False,N,PLATTEVILLE,US,WI,7515 SHADY ROAD,53818-9334,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,False,False,5304,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,18-MAR-02,False,,C,False,False,False,,True,,,1012419,False,2,BIGBOYSCONTRACT@AOL.COM,,False,,False,,,False,False,N,False,0,0,0,0,0,0,False,,BIG BOYS CONTRACTING LLC,False,False,,0,0,0,0,0,0,0,0,0,,JONESBORO,US,GA,1574 LAKE JODECO RD,30236,,0.0,,False,,False,False,0,0,0,0,0,0,1.0,,,GA,False,False,False,False,N,JONESBORO,US,GA,1574 LAKE JODECO RD,30236,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(770) 210-5066,,,1,0,0,1,0,0,False,False,5305,,0,0,0,0,0,0,False,False,False,False,False,False,False
6,18-MAR-02,False,,C,False,False,False,,True,,,1012420,False,2,SRHUSSEY@EARTHLINK.NET,,False,(336) 885-1696,False,,,False,False,N,False,0,0,0,0,0,0,False,,GUILFORD ENTERPRISES POOLS INC,False,False,,0,0,0,0,0,0,0,0,0,,ARCHDALE,US,NC,5856 AUCTION RD EXT,27263,29-DEC-08,3800.0,2004.0,False,,False,False,0,0,0,0,0,0,1.0,,,NC,False,False,False,False,N,ARCHDALE,US,NC,5856 AUCTION RD EXT,27263,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(336) 885-5339,,,1,0,0,0,0,0,False,False,5306,,0,0,0,0,0,0,False,False,False,False,False,False,False
7,18-MAR-02,False,,A,False,False,False,,,,,1012423,False,4,HEIKES.TRUCKINGLLC@GMAIL.COM,,False,,False,,,True,False,N,False,0,0,0,0,0,0,False,,HEIKES TRUCKING LLC,False,False,,0,0,0,0,0,0,0,0,0,,LA JARA,US,CO,PO BOX 108,81140,01-FEB-22,310752.0,2021.0,False,,False,False,0,0,0,0,0,0,4.0,,,CO,False,False,False,False,N,LA JARA,US,CO,15900 COUNTY RD W 5,81140,310752,2021,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(719) 588-2345,,,2,3,0,4,0,0,False,False,5307,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,18-MAR-02,False,,C,False,False,False,,,,,1012424,False,2,COLLINS@MWT.NET,,False,,False,,,False,True,N,False,0,0,0,0,0,0,False,,JAMES F COLLINS,False,False,,0,0,0,0,0,0,0,0,0,,BOSCOBEL,US,WI,17627 CO ROAD T,53805,15-DEC-20,4000.0,2020.0,False,,False,False,0,0,0,0,0,0,1.0,,,WI,False,False,False,False,N,BOSCOBEL,US,WI,17627 CO ROAD T,53805,4000,2020,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(608) 537-2729,,,1,0,0,0,0,0,False,False,5308,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
9,18-MAR-02,False,,C,False,False,False,,,,,1012425,False,1,,,False,(270) 765-7332,False,,,False,False,N,False,0,0,0,0,0,0,False,,WADDELLS SEPTIC TANK SERVICE,False,False,,0,0,0,0,0,0,0,0,0,,ELIZABETHTOWN,US,KY,2029 HODGENVILLE RD,42701,10-JAN-07,0.0,,False,,False,False,0,0,0,0,0,0,3.0,,,KY,False,False,False,False,N,ELIZABETHTOWN,US,KY,2029 HODGENVILLE RD,42701,0,0,False,,,True,0,0,0,0,0,0,0,0,0,3,0,0,(270) 737-7144,,,0,0,0,0,0,0,False,False,5309,,0,0,0,0,0,0,False,False,False,False,False,False,False
