,ADD_DATE,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,DRY BULK CEMENT,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GARDEN TOOLS,GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LANDSCAPE MATERIALS,LAWN EQUIPMENT,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,SHEDS,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TEXTILES,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,19-MAR-02,False,,A,False,False,False,,,1012857,False,6.0,,EBRANCH@CURTISPACKING.COM,False,(229) 382-4080,False,,,True,False,N,False,0,0,0,0,0,0,False,,,CURTIS PACKING CO INC,False,False,,0,0,0,0,0,0,0,0,0,,TIFTON,US,GA,115 SYCAMORE ST,31794,24-MAY-21,325000.0,2021.0,False,False,False,0,0,0,0,0,0,7.0,GA,False,False,False,False,N,TIFTON,US,GA,115 SYCAMORE ST,31794,325000,2021,False,,0,0,0,0,0,0,0,0,0,3,4,0,(229) 382-4014,,0,0,0,0,0,0,False,False,5500,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
1,19-MAR-02,False,,C,False,False,False,True,CROWE GRADING CO,1012859,False,3.0,,,False,,False,,,False,False,N,False,0,0,0,0,0,0,False,,,CHARLES D CROWE,False,False,,0,0,0,0,0,0,0,0,0,,CANTON,US,GA,5236 UNION HILL RD,30115,,12000.0,2001.0,False,False,False,0,0,0,0,0,0,1.0,GA,False,False,False,False,N,CANTON,US,GA,5236 UNION HILL RD,30115,0,0,False,,0,0,0,0,0,0,0,0,0,1,0,0,(770) 664-1365,,1,0,0,0,0,0,False,False,5501,,0,0,0,0,0,0,False,False,False,False,False,False,False
2,19-MAR-02,False,,C,False,False,False,,,1012860,False,16.0,,JAN@PUREFUNINC.COM,False,(770) 513-8255,True,,,False,False,N,False,0,0,0,0,0,0,False,,,PUREFUN INC,False,False,,0,0,0,0,0,0,0,0,0,,LAWRENCEVILLE,US,GA,401 INDUSTRIAL PARK DRIVE,30046,27-APR-22,279351.0,2021.0,False,False,False,0,0,0,0,0,0,13.0,GA,False,False,False,False,N,LAWRENCEVILLE,US,GA,401 INDUSTRIAL PARK DRIVE,30046,279351,2021,False,,0,0,0,0,0,0,0,0,0,13,0,0,(770) 682-8880,,0,0,0,0,0,0,False,False,5502,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
3,19-MAR-02,False,,C,False,False,False,,CABINETS BY CRAFTMASTERS,1012861,False,6.0,,,False,,False,,,False,False,N,True,0,0,0,0,0,0,False,,,GERRY R CROSLEY,False,False,,0,0,0,0,0,0,0,0,0,,ADAIRSVILLE,US,GA,119 EAGLE LANE,30103,,10000.0,2001.0,False,False,False,0,0,0,0,0,0,2.0,GA,False,False,False,False,N,ADAIRSVILLE,US,GA,119 EAGLE LANE,30103,0,0,False,,0,0,0,0,0,0,0,0,0,2,0,0,(770) 773-9900,,0,0,0,0,0,0,False,False,5503,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,19-MAR-02,False,,C,False,False,False,,,1012863,False,1.0,,,False,,False,,,False,False,N,False,0,0,0,0,0,0,False,,,GREAT LAKS PROTECTIVE COATINGS INC,False,False,,0,0,0,0,0,0,0,0,0,True,STURGEON BAY,US,WI,6835 EDGEWOOD CT,54235,29-JAN-01,0.0,,False,False,False,0,0,0,0,0,0,3.0,WI,False,False,False,False,N,STURGEON BAY,US,WI,6835 EDGEWOOD CT,54235,0,0,False,,0,0,0,0,0,0,0,0,0,2,0,0,(920) 743-4994,,2,0,0,1,0,0,False,False,5504,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,19-MAR-02,False,,C,False,False,False,,CAR CORNER,1012865,False,1.0,,,False,,False,,,False,False,N,False,0,0,0,0,0,0,False,,,DANIEL B WILLIS,False,False,,0,0,0,0,0,0,0,0,0,,DOUGLASVILLE,US,GA,6197 FAIRBURN RD,30134,,12000.0,2001.0,False,False,True,0,0,0,0,0,0,1.0,GA,False,False,False,False,N,DOUGLASVILLE,US,GA,6197 FAIRBURN RD,30134,0,0,False,,0,0,0,0,0,0,0,0,0,1,0,0,(770) 489-0490,,0,0,0,0,0,0,False,False,5505,,0,0,0,0,0,0,False,False,False,False,False,False,False
6,19-MAR-02,False,,C,False,False,False,,DIVERSIFIED SERVICES GROUP,1012867,False,5.0,,DIVERSIFIED@ALLTEL.NET,False,,False,,,False,False,N,False,0,0,0,0,0,0,False,,,ROY L LONG ENTERPRISES INC,False,False,,0,0,0,0,0,0,0,0,0,,DOUGLAS,US,GA,1115 SW BOWENS MILL RD,31533,,10000.0,2001.0,False,False,False,0,0,0,0,0,0,5.0,GA,False,False,False,False,N,DOUGLAS,US,GA,1115 SW BOWENS MILL RD,31533,0,0,False,,0,0,0,0,0,0,0,0,0,5,0,0,(912) 384-9491,,0,0,0,0,0,0,False,True,5506,,0,0,0,0,0,0,False,False,False,False,False,False,False
7,19-MAR-02,False,,B,False,False,False,,,1012868,False,7.0,,FARMERS53963@GMAIL.COM,False,(920) 324-3261,False,,,False,False,N,False,0,0,0,3,0,0,False,,,FARMERS ELEVATOR CO LTD,True,False,,0,0,0,0,0,0,0,0,0,,WAUPUN,US,WI,2 W MAIN ST,53963-1452,24-AUG-22,60000.0,2021.0,False,False,False,0,0,0,0,0,0,17.0,WI,False,False,False,False,N,WAUPUN,US,WI,2 W MAIN ST,53963-1452,60000,2021,False,,0,0,0,0,0,0,0,0,0,12,0,0,(920) 324-3593,,2,0,0,2,0,0,False,False,5507,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,19-MAR-02,False,,C,False,False,False,,DIRT TECH,1012870,False,3.0,,,False,,False,,,False,False,N,False,0,0,0,0,0,0,False,True,,ROBERT L HATTERSLEY,False,False,,0,0,0,0,0,0,0,0,0,,ACWORTH,US,GA,6384 EMERALD RUN,30102,,25000.0,2001.0,False,False,False,0,0,0,0,0,0,3.0,GA,False,False,False,False,N,WOODSTOCK,US,GA,6890 VICTORY DR LOT 1,30189,0,0,False,,0,0,0,0,0,0,0,0,0,3,0,0,(770) 917-8532,,0,0,0,0,0,0,False,False,5508,,0,0,0,0,0,0,False,False,False,False,False,False,False
9,19-MAR-02,False,,B,False,False,False,,,1012872,False,3.0,,,False,(715) 674-7205,False,,,False,False,N,False,0,0,0,3,0,0,False,,,NORTHWOODS LP INC,True,False,,0,0,0,0,0,0,0,0,0,,LAONA,US,WI,PO BOX 310,54541,21-APR-20,77800.0,2020.0,False,False,False,0,0,0,0,0,0,4.0,WI,False,False,False,False,N,LAONA,US,WI,5190 LINDEN ST,54541,77800,2020,False,,0,0,0,0,0,0,0,0,0,1,0,0,(715) 674-7405,,0,0,0,0,0,0,False,False,5509,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
