,ADD_DATE,BEVERAGES,BUCKET TRUCK,BUILDING MATERIALS,CARNIVAL EQUIPMENT,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DIRT,DOT_NUMBER,DRINKING WATER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,EQUIPMENT,FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",GRAND FATHER CLOCKS,HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PLANTS/TREES/HORTICULTURE,"PUMPS, WATER TANKS",RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,ROAD MATERIALS,SAND,SEPTIC WASTE,SHOES,SLUDGE LAND APPLICATION,STORAGE CONTAINERS,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TOOLS,TREE SPADE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UNSPECIFIED,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,25-MAR-02,False,,,,A,False,False,False,,,,1013941,,False,1,JOAN.HAMMONS@GMAIL.COM,,False,(606) 355-7177,False,,False,False,,N,False,0,0,0,0,0,0,False,DAVID HAMMONS CLASSIC CARS,False,False,,0,0,0,0,0,0,0,0,0,,CRAB ORCHARD,US,KY,8490 HWY 39 SOUTH,40419,18-AUG-21,5000.0,2020.0,False,,False,True,0,0,0,0,0,0,2.0,KY,False,False,False,False,N,CRAB ORCHARD,US,KY,8490 HWY 39 SOUTH,40419,,,5000,2020,False,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,(606) 355-7327,,,2,0,0,0,0,0,False,,False,6000,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
1,25-MAR-02,False,,,,C,False,False,False,,MTI EQUIPMENT,,1013945,,False,10,ASCHWANDT@DWCENTSFL.COM,,False,(941) 475-1309,False,,False,False,,N,False,0,0,0,0,0,0,False,FLORIDA UNDERGROUND SERVICES LLC,False,False,,0,0,0,0,0,0,0,0,0,True,ENGLEWOOD,US,FL,830 SOUTH RIVER RD,34223,07-FEB-13,31236.0,2007.0,False,,False,False,0,0,0,0,0,0,3.0,FL,False,False,False,False,N,ENGLEWOOD,US,FL,830 SOUTH RIVER RD,34223,,,0,0,False,,,,,,,0,0,0,0,0,0,0,0,0,2,0,0,(941) 474-6789,,,2,0,0,1,0,0,False,,False,6001,,0,0,0,0,0,0,False,False,False,False,False,False,False
2,25-MAR-02,False,,,True,A,False,False,False,,SHERIDAN AMUSEMENTS,,1013948,,False,3,DALARKEE@MSN.COM,,False,(866) 801-5239,False,,False,False,,N,False,0,0,0,0,0,0,False,SHERIDAN AMUSEMENTS LLC,False,False,,0,0,0,0,0,0,0,0,0,,WAUPACA,US,WI,P O BOX 647,54981,07-OCT-22,20000.0,2022.0,False,,False,False,0,0,0,0,0,0,9.0,WI,False,False,False,False,N,WAUPACA,US,WI,E621 SHERIDAN DRIVE,54981,,,20000,2022,False,,,,,,,0,0,0,0,0,0,0,0,0,3,0,0,(715) 281-2828,,,10,0,0,6,0,0,False,,False,6002,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
3,25-MAR-02,False,,,,C,False,False,False,,,,1013949,,False,1,,,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,ISOM SLONE,False,False,True,0,0,0,0,0,0,0,0,0,,TOPMOST,US,KY,PO BOX 205,41862,,0.0,,False,,False,False,0,0,0,0,0,0,1.0,KY,False,False,False,False,N,TOPMOST,US,KY,64 PUMP STATION HOLLOW,41862,,,0,0,False,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,(606) 447-3186,,,0,0,0,0,0,0,False,,False,6003,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,25-MAR-02,False,,,,C,False,False,False,True,FATHER & SON TRUCKING,,1013950,,False,1,,,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,SHARDANAND PARAY,False,False,,0,0,0,0,0,0,0,0,0,,PORT ST LUCIE,US,FL,1459 SW MERCHANT LANE,34953,14-MAR-02,0.0,,False,,False,False,0,0,0,0,0,0,1.0,FL,False,False,False,False,N,PORT ST LUCIE,US,FL,1459 SW MERCHANT LANE,34953,,,0,0,False,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,(561) 785-9639,,,0,0,0,0,0,0,False,,False,6004,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,25-MAR-02,False,,,,C,False,False,False,,LOVING'S LAWNWORKS,,1013952,,False,1,,,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,JEREMY LOVING,False,False,,0,0,0,0,0,0,0,0,0,,LOCKRIDGE,US,IA,3164 232ND BLVD,52635,18-MAR-02,0.0,,False,,False,False,0,0,0,0,0,0,2.0,IA,False,False,False,False,N,LOCKRIDGE,US,IA,3164 232ND BLVD,52635,,,0,0,False,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,(319) 696-2608,,True,0,0,0,0,0,0,False,,False,6005,,0,0,0,0,0,0,False,False,False,False,False,False,False
6,25-MAR-02,False,,,,C,False,False,False,,,,1013954,,False,3,,,False,(925) 706-7711,False,,True,False,,N,False,0,0,0,0,0,0,False,CAROLOLA MANPOWER,False,False,,0,0,0,0,0,0,0,0,0,,ANTIOCH,US,CA,P O BOX 4546,94531,31-AUG-12,100000.0,2012.0,False,,False,False,0,0,0,0,0,0,3.0,CA,False,False,False,False,N,ANTIOCH,US,CA,24 PALM BEACH WAY,94509,,,0,0,False,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(925) 706-7711,,,13,0,0,3,0,0,False,,False,6006,,0,0,0,0,0,0,False,False,False,False,False,False,False
7,25-MAR-02,False,,,,C,False,False,False,,,,1013956,,False,1,TTILLMAN@COOKCC.COM,,False,(813) 719-1204,False,,False,False,,N,False,0,0,0,0,0,0,False,COOK CONSTRUCTION COMPANY INC OF SOUTH FLORIDA,False,False,,0,0,0,0,0,0,0,0,0,True,PLANT CITY,US,FL,4206 NATIONAL GUARD DRIVE SUIT,33563,07-JUL-21,448681.0,2021.0,False,,False,False,0,0,0,0,0,0,1.0,FL,False,False,False,False,N,PLANT CITY,US,FL,4206 NATIONAL GUARD DRIVE SUITE 1,33563,,,448681,2021,False,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(813) 719-1203,,,0,0,0,1,0,0,False,,False,6007,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,25-MAR-02,False,,True,,C,False,False,False,,,,1013959,,False,1,,,False,(407) 349-1059,False,,False,False,,N,False,0,0,0,0,0,0,False,CONIGLIO CONSTRUCTION INC,False,False,,0,0,0,0,0,0,0,0,0,,GENEVA,US,FL,561 OLD GENEVA ROAD,32732,13-MAR-02,0.0,,False,,False,False,0,0,0,0,0,0,1.0,FL,False,False,False,False,N,GENEVA,US,FL,561 OLD GENEVA ROAD,32732,,,0,0,False,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,(407) 349-5095,,,0,0,0,0,0,0,False,,False,6008,,0,0,0,0,0,0,False,False,False,False,False,False,False
9,25-MAR-02,False,,,,A,False,False,False,,SUMMIT LEASE AND RENTAL,,1013961,,False,3,STUART.HELLEN@SUMMITTRUCKGROUP.COM,,False,(901) 346-0385,False,,True,False,,N,False,0,0,0,0,0,0,False,SUMMIT IDEALEASE LLC,False,False,,0,0,0,0,0,0,0,0,0,,MEMPHIS,US,TN,1850 E BROOKS RD,38116,26-MAY-21,4991774.0,2020.0,False,,False,False,0,0,0,0,0,0,215.0,TN,False,False,False,False,N,MEMPHIS,US,TN,1940 EAST BROOKS RD STE 100,38116,,,4991774,2020,False,,,,,,,0,0,0,0,0,0,0,0,0,91,0,0,(901) 348-1407,,,0,0,0,124,0,0,False,,False,6009,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
