,ADD_DATE,AUTO PARTS,BEVERAGES,BOAT,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE","COMMERCIAL KITCHEN APPLIANCES, TOOLS, PARTS",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PALLETS,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,READY MIXED CONCRETE,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,28-MAR-02,,False,,,A,False,False,,False,,,1014890,False,2,JMALLI0018@GMAIL.COM,False,,False,True,False,N,False,0,0,0,0,0,0,False,MALLI EXCAVATION AND TRUCKING LLC,False,False,,0,0,0,0,0,0,0,0,0,,SHERIDAN,US,WY,5901 COFFEEN AVENUE  LOT 10,82801,27-AUG-21,55000,2020.0,False,,False,False,0,0,0,0,0,0,1,WY,False,False,,False,False,N,SHERIDAN,US,WY,5901 COFFEEN AVENUE  LOT 10,82801,,55000,2020,False,0,0,0,0,0,0,0,0,0,0,0,0,(307) 621-0018,3,0,0,1,0,0,False,False,6400,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
1,28-MAR-02,,False,,,A,False,False,,False,,ACR METAL ROOFING DIST LLC,1014896,False,2,ACRMETAL@COMCAST.NET,False,(610) 670-6530,False,False,False,N,False,0,0,0,0,0,0,False,LISA DREBUSHENKO,False,False,,0,0,0,0,0,0,0,0,0,,SINKING SPRING,US,PA,130 BRAN RD,19608,28-SEP-20,30000,2015.0,False,True,False,False,0,0,0,0,0,0,3,PA,False,False,,False,False,N,WOMELSDORF,US,PA,4976 RT 419,19567,,30000,2015,False,0,0,0,0,0,0,0,0,0,3,0,0,(610) 670-6523,0,0,0,0,0,0,False,False,6401,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
2,28-MAR-02,,False,,,A,False,False,,False,,,1014897,False,4,BRADDUES@GMAIL.COM,False,(260) 335-2113,False,False,False,N,False,0,0,0,0,0,0,False,DUES AND SONS LLC,False,False,,0,0,0,0,0,0,0,0,0,True,PORTLAND,US,IN,4356 S 300 E,47371,31-MAY-21,6000,2021.0,False,,False,False,0,0,0,0,0,0,2,IN,False,False,,False,False,N,PORTLAND,US,IN,4356 S 300 E,47371,,6000,2021,False,0,0,0,0,0,0,0,0,0,0,0,0,(260) 335-2113,2,0,0,2,0,0,False,False,6402,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
3,28-MAR-02,,False,,,C,False,False,,False,,,1014898,False,1,,False,,False,True,False,N,False,0,0,0,0,0,0,False,HORSESHOE DELIVERY INC,False,False,,0,0,0,0,0,0,0,0,0,,AILVER SPRING,US,MD,P O BOX 6000,209166000,28-MAR-02,20000,2001.0,False,,False,False,0,0,0,0,0,0,1,MD,False,False,,False,False,N,SILVER SPRING,US,MD,12817 JINGLE LANE,209063747,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(301) 949-4817,0,0,0,0,0,0,False,False,6403,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,28-MAR-02,,False,,,C,False,False,,False,,,1014902,False,2,MPATR46937@AOL.COM,False,,False,False,False,N,False,0,0,0,0,0,0,False,THE LUMBERYARD INC,False,False,True,0,0,0,0,0,0,0,0,0,,ST MICHAELS,US,MD,1206 TALBOT STREET,21663,18-FEB-22,20000,2021.0,False,,False,False,0,0,0,0,0,0,2,DE,False,False,,False,False,N,ST MICHAELS,US,MD,1206 TALBOT STREET,21663,,20000,2021,False,0,0,0,0,0,0,0,0,0,2,0,0,(410) 745-2533,0,0,0,0,0,0,False,False,6404,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
5,28-MAR-02,,True,,,C,False,False,,False,,,1014910,False,9,MATT@BPLESKY.COM,False,(301) 733-8182,False,False,False,N,False,0,0,0,0,0,0,False,B P LESKY DISTRIBUTING CO INC,False,False,,0,0,0,0,0,0,0,0,0,,HAGERSTOWN,US,MD,120 WESTERN MARYLAND PARKWAY,21740,29-OCT-21,32000,2020.0,False,,False,False,0,0,0,0,0,0,6,MD,False,False,,False,False,N,HAGERSTOWN,US,MD,120 WESTERN MARYLAND PARKWAY,21740,,32000,2020,False,0,0,0,0,0,0,0,0,0,4,0,0,(301) 733-0787,2,0,0,2,0,0,False,False,6405,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
6,28-MAR-02,,False,,,B,False,False,,False,,,1014913,False,1,SEAFUELS1@YAHOO.COM,False,(508) 992-2811,False,False,False,N,False,0,0,0,0,0,0,False,SEA FUELS MARINE SERVICES INC,True,False,,0,0,0,0,0,0,0,0,0,,NEW BEDFORD,US,MA,101 COOP WHARF,02740,09-MAR-11,1,2010.0,False,,False,False,0,0,0,0,0,0,1,MA,False,False,,False,False,N,NEW BEDFORD,US,MA,101 COOP WHARF,02740,,1,2010,False,0,0,0,0,0,0,0,0,0,1,0,0,(508) 992-2323,0,0,0,0,0,0,False,False,6406,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
7,28-MAR-02,,False,,,C,False,False,,False,,R & R PALLET,1014914,False,1,,False,,False,False,False,N,False,0,0,0,0,0,0,False,ROGER WEDDLE,False,False,,0,0,0,0,0,0,0,0,0,,EDINBURGH,US,IN,480 PROSSER DR LOT 54,46124,28-MAR-02,0,,False,,False,False,0,0,0,0,0,0,1,IN,False,False,True,False,False,N,EDINBURGH,US,IN,480 PROSSER DR LOT 54,46124,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(812) 526-8115,0,0,0,0,0,0,False,False,6407,,0,0,0,0,0,0,False,False,False,False,False,False,False
8,28-MAR-02,,False,,,C,False,False,,False,,,1014923,False,3,W.SOWDER@RHRCC.ORG,True,(606) 256-8139,False,False,False,N,False,0,0,0,0,0,0,False,MARK SOWDER,False,False,,0,0,0,0,0,0,0,0,0,,BRODHEAD,US,KY,2056 BRINDLE RIDGE RD,40409,02-MAR-22,2500,2021.0,False,,False,False,0,0,0,0,0,0,3,KY,False,False,,False,False,N,BRODHEAD,US,KY,2056 BRINDLE RIDGE RD,40409,,2500,2021,False,0,0,0,0,0,0,0,0,0,2,0,0,(606) 758-9350,1,0,0,1,0,0,False,False,6408,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
9,28-MAR-02,,False,,,B,False,False,,False,,,1014929,False,1,ACARDENAS@METROGROUPINC.COM,False,(718) 729-8677,False,False,False,N,False,1,0,0,0,0,0,False,THE METRO GROUP INC,True,False,,0,0,0,0,0,0,0,0,0,,LONG ISLAND CITY,US,NY,50-23 23RD ST,11101,01-SEP-20,5810,2019.0,False,,False,False,0,0,0,0,0,0,1,NY,False,False,,False,False,N,LONG ISLAND CITY,US,NY,50-23 23RD ST,11101,,5810,2019,False,0,0,0,0,0,0,0,0,0,1,0,0,(718) 906-5607,9,0,0,0,0,0,False,False,6409,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
