,ADD_DATE,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DEMO MATERIAL,DIRT ,"DIRT,GRAVEL",DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",GRAVEL,HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LANDSCAPE MATERIAL,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OIL/FUEL/HYDR FLUID,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PULPWOOD,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,03-APR-02,False,,A,False,False,False,,,,,,1016603,False,1,COAST22@COAST22.NET,False,,False,,True,False,,N,False,0,0,0,0,0,0,False,,NCE TRANSPORT LLC,False,False,,0,0,0,0,0,0,0,0,0,,OKLAHOMA CITY,US,OK,13919 N MAY AVE 204,73134,04-APR-22,1807,2022.0,False,,False,False,0,0,0,0,0,0,1,OK,False,,False,False,False,N,MCALESTER,US,OK,202 W CHOCTAW AVE,74501,,1807,2022,False,0,0,0,0,0,0,0,0,0,0,0,0,(850) 225-1482,0,0,0,1,0,0,False,False,7100,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
1,03-APR-02,False,,C,False,False,False,,,,,,1016604,False,1,,False,(801) 254-0234,False,,True,False,,N,False,0,0,0,0,0,0,False,,MILNER TRUCKING,False,False,,0,0,0,0,0,0,0,0,0,,RIVERTON,US,UT,11750 S 1700 W,84065,03-APR-02,0,,False,,False,False,0,0,0,0,0,0,1,UT,False,,False,False,False,N,RIVERTON,US,UT,11750 S 1700 W,84065,,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,(801) 254-0234,0,0,0,1,0,0,False,False,7101,,0,0,0,0,0,0,False,False,False,False,False,False,False
2,03-APR-02,False,,C,False,False,False,,MLC,,,,1016606,False,1,MEADELEASINGCOMPANY@G.MAIL.COM,False,(606) 297-5397,False,,False,False,,N,False,0,0,0,0,0,0,False,,MEADE LEASING COMPANY INC,False,False,True,0,0,0,0,0,0,0,0,0,,VOLGA,US,KY,3594 KY RT 172,41219,01-APR-22,15000,2021.0,False,,False,False,0,0,0,0,0,0,3,KY,False,,False,False,False,N,VOLGA,US,KY,3594 KY RT 172,41219,,15000,2021,False,0,0,0,0,0,0,0,0,0,3,0,0,(606) 297-5392,1,0,0,0,0,0,False,False,7102,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
3,03-APR-02,False,,C,False,False,False,,,,,,1016607,False,5,JOHN@MAINELYPAVING.COM,False,(207) 282-9990,False,,False,False,,N,False,0,0,0,0,0,0,False,,J KORPACZEWSKI & SON INC,False,False,,0,0,0,0,0,0,0,0,0,True,BIDDEFORD,US,ME,16 RATCHET WAY,04005,28-JUN-22,50000,2022.0,False,,False,False,0,0,0,0,0,0,5,ME,False,,False,False,False,N,BIDDEFORD,US,ME,16 RATCHET WAY,04005,,50000,2022,False,0,0,0,0,0,0,0,0,0,4,0,0,(207) 282-9990,0,0,0,1,0,0,False,False,7103,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
4,03-APR-02,False,,C,False,False,False,,,,,,1016608,False,1,ATORON@ATORONTRUCKING.COM,False,(619) 338-0523,False,,True,False,,N,False,0,0,0,0,0,0,False,,ATORON TRUCKING CORP,False,False,,0,0,0,0,0,0,0,0,0,,SAN DIEGO,US,CA,2906 BEECH ST,92102,25-SEP-10,43407,2009.0,False,,False,False,0,0,0,0,0,0,1,CA,False,,False,False,False,N,SAN DIEGO,US,CA,2906 BEECH ST,92102,,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,(619) 338-0522,1,0,0,1,0,0,False,False,7104,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,03-APR-02,False,,C,False,False,False,,AMERIPAK,,,,1016610,False,2,JOHN@AMERIPAK.BIZ,False,(317) 769-5518,False,,True,False,,N,False,0,0,0,0,0,0,False,,GFI ENTERPRISES LLC,False,False,,0,0,0,0,0,0,0,0,0,,LEBANON,US,IN,5560 WHITESTOWN PARKWAY,46052,24-AUG-21,68000,2020.0,False,,False,False,0,0,0,0,0,0,2,IN,False,,False,False,False,N,LEBANON,US,IN,5560 WHITESTOWN PARKWAY,46052,,68000,2020,False,0,0,0,0,0,0,0,0,0,1,1,0,(317) 769-5511,0,0,0,0,0,0,False,False,7105,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
6,03-APR-02,False,,C,False,False,False,,B AND D FORKLIFT INC,,,,1016611,False,1,,False,(801) 771-0151,False,,False,False,,N,False,0,0,0,0,0,0,False,,DRAPER VERN,False,False,,0,0,0,0,0,0,0,0,0,,LAYTON,US,UT,PO BOX 1103,84041,03-APR-02,0,,False,,False,True,0,0,0,0,0,0,1,UT,False,,False,False,False,N,LAYTON,US,UT,3185 N 675 E,84041,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(801) 771-8075,0,0,0,0,0,0,False,False,7106,,0,0,0,0,0,0,False,False,False,False,False,False,False
7,03-APR-02,False,,C,False,False,False,True,GROUND EFFECTS,,,,1016612,False,1,,False,(207) 273-3389,False,,False,False,,N,False,0,0,0,0,0,0,False,,JAMES E KINNEY,False,False,,0,0,0,0,0,0,0,0,0,,WARREN,US,ME,271 DEPOT RD,04864,15-OCT-21,483,2020.0,False,,False,False,0,0,0,0,0,0,4,ME,False,,False,False,False,N,WARREN,US,ME,271 DEPOT RD,04864,,483,2020,False,0,0,0,0,0,0,0,0,0,4,0,0,(207) 273-3389,2,0,0,0,0,0,False,False,7107,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,03-APR-02,False,,A,False,False,False,,HANK FARMS,,,,1016616,False,1,,False,,False,,False,True,,N,False,0,0,0,0,0,0,False,,RON HANK,False,False,,0,0,0,0,0,0,0,0,0,,ALEDO,US,IL,782 200TH ST,61231,05-JUN-21,7300,2020.0,False,,False,False,0,0,0,0,0,0,1,IL,False,,False,False,False,N,ALEDO,US,IL,782 200TH ST,61231,,7300,2020,False,0,0,0,0,0,0,0,0,0,0,0,0,(309) 221-2562,1,0,0,1,0,0,False,False,7108,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
9,03-APR-02,False,,C,False,False,False,,,,,,1016617,False,2,JDFANT@BLOOMER.NET,False,,False,,False,True,,N,False,0,0,0,0,0,0,False,,DARYL A FANETTI,False,False,,0,0,0,0,0,0,0,0,0,,BLOOMER,US,WI,9031 157TH AVENUE,54724,11-NOV-19,21860,2018.0,False,,False,False,0,0,0,0,0,0,1,WI,False,,False,False,False,N,BLOOMER,US,WI,9031 157TH AVENUE,54724,,0,0,False,0,0,0,0,0,0,0,0,0,1,0,0,(715) 568-2747,0,0,0,0,0,0,False,False,7109,,0,0,0,0,0,0,False,False,False,False,False,False,False
