,ADD_DATE,BAKERY PRODUCTS,BEVERAGES,"BREAD,PASTRIES",BRUSH AND WOOD,BUILDING MATERIALS,BURIAL VAULTS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,FURNITURE,GENERAL FREIGHT,"GRAIN, FEED, HAY",GRAVEL & SAND,HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PLANTS & STRAW,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,STEEL VALVES,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TOOLS,TREE SPADE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,04-APR-02,,False,,,,,C,False,True,False,,,1017024,False,1,,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,WILLIAM H HART,False,False,,0,0,0,0,0,0,0,0,0,,COLUMBIA CROSS ROADS,US,PA,RR 3 BOX 112,16914,31-MAR-05,0.0,,False,False,False,0,0,0,0,0,0,1,PA,False,False,False,False,N,COLUMBIA CROSS ROADS,US,PA,RR 3 BOX 112,16914,,0,0,False,,0,0,0,0,0,0,0,0,0,1,0,0,(570) 297-2849,,,0,0,0,0,0,0,False,False,7300,,0,0,0,0,0,0,False,False,False,False,False,False,False
1,04-APR-02,,False,,,,,C,False,False,False,,,1017025,False,1,,False,,False,,False,True,,N,False,0,0,0,0,0,0,False,LEN DON FARMS INC,False,False,,0,0,0,0,0,0,0,0,0,,BLOOMER,US,WI,16378 87TH STREET,54724,03-FEB-01,0.0,,False,False,False,0,0,0,0,0,0,1,WI,False,False,False,False,N,BLOOMER,US,WI,16378 87TH STREET,54724,,0,0,False,,0,0,0,0,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,False,False,7301,,0,0,0,0,0,0,False,False,False,False,False,False,False
2,04-APR-02,,False,,,,,C,False,False,False,,,1017027,False,4,,False,,False,,False,True,,N,False,0,0,0,0,0,0,False,SUNSET FARMS INC,False,False,,0,0,0,0,0,0,0,0,0,,ALLENTON,US,WI,6600 SUNSET DRIVE,53002,03-DEC-18,,,False,False,False,0,0,0,0,0,0,4,WI,False,False,False,False,N,ALLENTON,US,WI,6600 SUNSET DRIVE,53002,,0,0,False,,0,0,0,0,0,0,0,0,0,3,0,0,(262) 689-8553,,,0,0,0,1,0,0,False,False,7302,,0,0,0,0,0,0,False,False,False,False,False,False,False
3,04-APR-02,,False,,,,,C,False,False,False,,,1017029,False,2,,False,(719) 742-3807,False,,False,False,,N,False,0,0,0,0,0,0,False,AAA EXCAVATING LLC,False,False,,0,0,0,0,0,0,0,0,0,True,LA VETA,US,CO,1370 CR 358,81055,02-APR-02,10000.0,2001.0,False,False,False,0,0,0,0,0,0,1,CO,False,False,False,False,N,LA VETA,US,CO,1370 CR 358,81055,,0,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,(719) 742-3564,,,1,0,0,1,0,0,False,False,7303,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,04-APR-02,,False,,,,,A,False,False,False,,,1017033,False,3,MLUTMER@YAHOO.COM,False,(513) 409-5076,False,,True,False,,N,False,0,0,0,0,0,0,False,LUTMER FARMS LLC,False,False,,0,0,0,0,0,0,0,0,0,,LEBANON,US,OH,1140 OREGONIA RD,45036,17-FEB-21,80590.0,2020.0,False,False,False,0,0,0,0,0,0,3,OH,False,False,False,False,N,LEBANON,US,OH,2076 OREGONIA RD,45036-9363,,80590,2020,False,,0,0,0,0,0,0,0,0,0,0,0,0,(513) 932-3629,,,6,0,0,3,0,0,False,False,7304,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
5,04-APR-02,,False,,,True,,A,False,False,False,,,1017035,False,16,MIKE@LAPPSTRUCTURES.COM,False,(717) 354-4085,False,,False,False,,N,False,0,0,0,0,0,0,False,MIKE LAPP TRUCKING LLC,False,False,,0,0,0,0,0,0,0,0,0,,GORDONVILLE,US,PA,3333 HARVEST DRIVE,17529,03-MAY-21,61530.0,2021.0,False,False,False,0,0,0,0,0,0,4,PA,False,False,False,False,N,GORDONVILLE,US,PA,3333 HARVEST DRIVE,17529,,61530,2021,False,,0,0,0,0,0,0,0,0,0,4,0,0,(717) 278-1496,,,0,0,0,0,0,0,False,False,7305,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
6,04-APR-02,,False,,,,,A,False,False,False,,TRANSPORTES NUNEZ,1017036,False,3,MIGUELRUBIOHIJ@HOTMAIL.COM,False,,False,,True,False,,N,False,0,0,0,0,0,0,False,SALVADOR NUNEZ GONZALEZ,False,False,,0,0,0,0,0,0,0,0,0,,SAN DIEGO,US,CA,9765 MARCONI DR STE 105,92154,15-JUN-21,10000.0,2020.0,False,False,False,0,0,0,0,0,0,3,TX,False,False,False,False,N,CASIMIRO CASTIL,MX,JA,IGNACIO  ALTAMIRANO 45,48930,,10000,2020,False,,0,0,0,0,0,0,0,0,0,0,0,0,(317) 388-5505,,,0,0,0,3,0,0,False,False,7306,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
7,04-APR-02,,False,,,,,B,False,False,False,,,1017037,False,2,JPRUSSELLSON@YAHOO.COM,False,(717) 589-7990,False,,False,False,,N,False,1,0,0,3,0,0,False,J P RUSSELL & SON INC,True,False,,0,0,0,0,0,0,0,0,0,,MILLERSTOWN,US,PA,60 NORTH MARKET ST,17062,14-JUL-21,56108.0,2020.0,False,False,False,0,0,0,0,0,0,4,PA,False,False,False,False,N,MILLERSTOWN,US,PA,90 NORTH MARKET ST,17062,,56108,2020,False,,0,0,0,0,0,0,0,0,0,0,0,0,(717) 589-3211,,,0,0,0,1,0,0,False,False,7307,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,04-APR-02,,False,,,,,C,False,False,False,,DAVID H WOOD WELDING SERVICE,1017042,False,1,,False,,False,,False,False,,N,False,0,0,0,0,0,0,False,DAVID H WOOD,False,False,,0,0,0,0,0,0,0,0,0,,DAWSON SPRINGS,US,KY,1345 INDUSTRIAL PARK RD,42408,,0.0,,False,False,False,0,0,0,0,0,0,3,KY,False,False,False,False,N,DAWSON SPRINGS,US,KY,1345 INDUSTRIAL PARK RD,42408,,0,0,False,,0,0,0,0,0,0,0,0,0,3,0,0,(270) 797-2644,True,,0,0,0,0,0,0,False,False,7308,,0,0,0,0,0,0,False,False,False,False,False,False,False
9,04-APR-02,,False,,,,,C,False,False,False,,STIGLER FARMS,1017046,False,1,,False,,False,,False,True,,N,False,0,0,0,0,0,0,False,ROBERT R STIGLER,False,False,,0,0,0,0,0,0,0,0,0,,WAUKESHA,US,WI,W235 S6089 BIG BEND ROAD,53186,28-AUG-00,10000.0,1999.0,False,False,False,0,0,0,0,0,0,3,WI,False,False,False,False,N,WAUKESHA,US,WI,W235 S6089 BIG BEND ROAD,53186,,0,0,False,,0,0,0,0,0,0,0,0,0,2,0,0,(262) 549-9579,,,1,0,0,1,0,0,False,False,7309,,0,0,0,0,0,0,False,False,False,False,False,False,False
