,ADD_DATE,BAKED FOODS,BAKED GOODS,BEVERAGES,BOATS,BUILDING MATERIALS,CARRIER_OPERATION,CELLULOSE INSULATION,CEMENT,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LANDSCAPE MATERIALS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,MINK,MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,RENTAL AND LEASING,ROAD BLDG MATERIALS,SOD & TREES,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TOOLS,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,10-APR-02,,,False,,,A,,,False,False,False,,,1018271,False,3,BRETT.HINES57@GMAIL.COM,False,(405) 262-8743,False,,False,False,N,False,0,0,0,0,0,0,False,,HARMON PRODUCTION SERVICES INC,False,False,,0,0,0,0,0,0,0,0,0,,EL RENO,US,OK,2604 SOUTHLAWN DRIVE,73036,05-JAN-21,98000.0,2020.0,False,,False,False,0,0,0,0,0,0,3.0,OK,True,False,False,False,N,EL RENO,US,OK,2604 SOUTHLAWN DRIVE,73036,98000,2020,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(405) 820-0840,,3,0,0,3,0,0,False,False,7800,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
1,10-APR-02,,,False,,,C,,,False,False,False,,,1018272,True,3,,False,(410) 257-1650,False,,False,False,N,False,0,0,0,0,0,0,False,,B & M MOBILE TUNE UPS,False,False,,0,0,0,0,0,0,0,0,0,,SUNDERLAND,US,MD,95 DALRYMPLE ROAD,20689,10-APR-02,80000.0,2001.0,False,,False,False,0,0,0,0,0,0,3.0,MD,False,False,False,False,N,SUNDERLAND,US,MD,95 DALRYMPLE ROAD,20689,0,0,False,,,,0,0,0,0,0,0,0,0,0,3,0,0,(410) 257-7875,,0,0,0,0,0,0,False,False,7801,,0,0,0,0,0,0,False,False,False,False,False,False,False
2,10-APR-02,,,False,,,C,,,False,False,False,,,1018275,False,1,,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,DANIEL HEMBREE,False,False,,0,0,0,0,0,0,0,0,0,,SHAWNEE,US,OK,PO BOX 125,74802-0125,,0.0,,False,,False,False,0,0,0,0,0,0,1.0,OK,False,False,False,False,N,SHAWNEE,US,OK,715 N UNION,74801,0,0,False,,True,,0,0,0,0,0,0,0,0,0,1,0,0,(405) 206-4728,,0,0,0,0,0,0,False,False,7802,,0,0,0,0,0,0,False,False,False,False,False,False,False
3,10-APR-02,,,False,,,A,,,False,False,False,,,1018276,False,3,,False,(205) 486-2644,False,,True,False,N,False,0,0,0,0,0,0,False,,CHRIS SIMS TRUCKING INC,False,False,,0,0,0,0,0,0,0,0,0,,HALEYVILLE,US,AL,PO BOX 711,35565-0711,19-JUL-22,325000.0,2021.0,False,,False,False,0,0,0,0,0,0,3.0,AL,False,False,False,False,N,HALEYVILLE,US,AL,5795 COUNTY ROAD 20,35565,325000,2021,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(205) 486-0919,,4,1,0,1,2,0,False,False,7803,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
4,10-APR-02,,,False,,,A,,,False,False,False,,J P HESS LIMITED,1018277,False,2,PEGMOMONE@YAHOO.COM,False,(937) 653-8364,False,,True,False,N,False,0,0,0,0,0,0,False,,J P HESS LIMITED LLC,False,False,,0,0,0,0,0,0,0,0,0,,URBANA,US,OH,707 SOUTH EDGEWOOD AVENUE,43078,24-JUN-22,103022.0,2021.0,False,,False,False,0,0,0,0,0,0,2.0,OH,False,False,False,False,N,URBANA,US,OH,707 SOUTH EDGEWOOD AVENUE,43078,103022,2021,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(937) 605-3055,,2,0,0,2,0,0,False,False,7804,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
5,10-APR-02,,,False,,,C,,,False,False,False,,,1018279,False,1,,False,,False,,False,True,N,False,0,0,0,0,0,0,False,,ROLAND E POETTER,False,False,,0,0,0,0,0,0,0,0,0,,BEAVER DAM,US,WI,N5151 YORK ROAD,53916,01-AUG-00,3000.0,2000.0,False,,False,False,0,0,0,0,0,0,1.0,WI,False,False,False,False,N,BEAVER DAM,US,WI,N5151 YORK ROAD,53916,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(920) 885-4284,,0,0,0,0,0,0,False,False,7805,,0,0,0,0,0,0,False,False,False,False,False,False,False
6,01-JUN-74,,,False,,,C,,,False,False,False,,,101828,False,1,WALLY@BINLEYFLORIST.COM,False,,True,,False,False,N,False,0,0,0,0,0,0,False,,BINLEY FLORIST INC,False,False,,0,0,0,0,0,0,0,0,0,,GLENS FALLS,US,NY,31 GRANT AVE,12801-2609,02-AUG-04,0.0,,False,,False,False,0,0,0,0,0,0,1.0,NY,False,False,False,False,N,GLENS FALLS,US,NY,31 GRANT AVE,12801-2609,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(518) 793-9603,,0,0,0,0,0,0,False,False,7806,,0,0,0,0,0,0,False,False,False,False,False,False,False
7,10-APR-02,,,False,,,C,,,False,False,False,True,,1018282,False,2,ASTRK1@COX.NET,False,(480) 834-1544,False,,False,False,N,False,0,0,0,0,0,0,False,,A & S TRUCKING LLC,False,False,,0,0,0,0,0,0,0,0,0,,MESA,US,AZ,2421 E INVERNESS AVE,85204,13-MAR-22,50000.0,2021.0,False,,False,False,0,0,0,0,0,0,2.0,AZ,False,False,False,False,N,MESA,US,AZ,2421 E INVERNESS AVE,85204,50000,2021,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(480) 600-8763,,0,0,0,0,0,0,False,False,7807,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,10-APR-02,,,False,,,C,,,False,False,False,,,1018283,False,2,,False,(503) 543-5196,False,,False,False,N,False,0,0,0,0,0,0,False,,KRIS MCKINNEY,False,False,,0,0,0,0,0,0,0,0,0,,SCAPPOOSE,US,OR,33470 CHINNOOK PZ PMB M,97056,28-FEB-02,0.0,,False,,False,False,0,0,0,0,0,0,1.0,OR,False,False,False,False,N,SCAPPOOSE,US,OR,3387 SE OAK ST,97056,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(503) 515-6788,True,0,0,0,0,0,0,False,False,7808,,0,0,0,0,0,0,False,False,False,False,False,False,False
9,10-APR-02,,,False,,,A,,,False,False,False,,WESTERN PACIFIC LEASING AND DOBBS LEASING,1018284,False,260,CONSTANCE.TYLER@DOBBSPETERBILT.COM,False,(206) 340-0416,False,,False,False,N,False,0,0,0,0,0,0,False,,WESTERN PETERBILT LLC,False,False,,0,0,0,0,0,0,0,0,0,,SEATTLE,US,WA,PO BOX 35144 #1022,98124-5144,08-AUG-22,4214363.0,2021.0,False,,False,False,0,0,0,0,0,0,158.0,WA,False,False,False,False,N,SUMNER,US,WA,2800 136TH AVE COURT E,98390,4214363,2021,False,True,,,0,0,0,0,0,0,0,0,0,3,21,0,(206) 957-4152,,0,17,0,25,109,0,False,False,7809,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
