,ADD_DATE,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"CLOTHING, FOOD, FURNITURE, METAL, ETC","COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LANDSCAPING,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,NEWSPAPERS,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,ROCKS GRAVEL SAND,"SAND, DIRT AND ROCK",SOD,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,"WOOD SHIPS , DIRT ",XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,15-APR-02,False,,C,False,,False,False,,QUARTER MOON SERVICES,1019438,False,1.0,TJADAMS@BELLSOUTH.NET,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,QUARTER MOON OUTFITTERS INC,False,False,True,0,0,0,0,0,0,0,0,0,,LAWRENCEVILLE,US,GA,1673 MCKENDREE CHURCH RD,30043,,30000,2001.0,False,,False,False,0,0,0,0,0,0,2.0,,GA,False,False,False,False,N,LAWRENCEVILLE,US,GA,1673 MCKENDREE CHURCH RD,30043,0,0,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(678) 377-8888,0,0,0,0,0,0,False,False,8300,,0,0,0,0,0,0,False,,False,False,False,False,False,False
1,15-APR-02,False,,A,False,,False,False,,,1019439,False,9.0,YANTRANSPORT@GMAIL.COM,False,(973) 344-8900,False,,True,False,N,False,0,0,0,0,0,0,False,,YAN TRANSPORT LOGISTIC INC,False,False,,0,0,0,0,0,0,0,0,0,,NEWARK,US,NJ,474 WILSON AVE,07105,18-SEP-21,748357,2019.0,False,,False,False,0,0,0,0,0,0,9.0,,NJ,False,False,False,False,N,NEWARK,US,NJ,474 WILSON AVE,07105,748357,2019,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(917) 476-5721,0,20,0,3,6,0,False,False,8301,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
2,01-JUN-74,False,,B,False,,False,False,,,101944,False,13.0,,False,,False,,True,False,N,False,0,0,0,0,0,0,False,,DEWEYS EXPRESS INC,False,False,,0,0,0,0,0,0,0,0,0,,REVERE,US,MA,34 RAILROAD AVE,02151-3902,,0,,False,,False,False,0,0,0,0,0,0,13.0,,MA,False,False,False,False,N,REVERE,US,MA,34 RAILROAD AVE,02151-3902,0,0,False,,,,0,0,0,0,0,0,0,0,0,11,1,0,(617) 286-4557,2,0,0,0,1,0,False,False,8302,,0,0,0,0,0,0,False,,False,False,False,False,False,False
3,15-APR-02,False,,B,False,,False,False,,,1019441,False,4.0,TLPENNINGTON@WORLDNET.ATT.NET,False,,False,,True,False,N,False,0,0,0,0,0,0,False,,PENNINGTON DESIGN GROUP INC,False,False,,0,0,0,0,0,0,0,0,0,,STONE MOUNTAIN,US,GA,5328 CUMBERLAND WAY,30087,,0,,False,,False,False,0,0,0,0,0,0,2.0,,GA,False,False,False,False,N,STONE MOUNTAIN,US,GA,5328 CUMBERLAND WAY,30087,0,0,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(404) 210-4886,0,0,0,0,0,0,False,False,8303,,0,0,0,0,0,0,False,,False,False,False,False,False,False
4,15-APR-02,False,,A,False,,False,False,,SCUDDER BRIDGE COMPANY,1019442,False,14.0,WILLIAM@BRIDGESINCORPORATED.COM,False,(316) 283-9363,False,,False,False,N,False,0,0,0,0,0,0,False,,BRIDGES INC,False,False,,0,0,0,0,0,0,0,0,0,,NEWTON,US,KS,911 SW 14TH,67114,20-DEC-21,69455,2020.0,False,True,False,False,0,0,0,0,0,0,20.0,,KS,False,False,False,False,N,NEWTON,US,KS,911 SOUTHWEST 14TH STREET,67114,69455,2020,False,,,,0,0,0,0,0,0,0,0,0,17,0,0,(316) 283-9350,3,0,0,3,0,0,False,False,8304,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
5,15-APR-02,False,,C,False,,False,False,,RIGBY'S EXPERT TREE CARE,1019444,False,2.0,EXPERTCARE@RIGBYTREES.COM,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,EDWARD F RIGBY,False,False,True,0,0,0,0,0,0,0,0,0,,ROSWELL,US,GA,121 LAKESHORE DR S,30075,,9000,2001.0,False,,False,False,0,0,0,0,0,0,2.0,,GA,False,False,False,False,N,ROSWELL,US,GA,121 LAKESHORE DR S,30075,0,0,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(770) 993-4675,2,0,0,0,0,0,False,False,8305,,0,0,0,0,0,0,False,,False,False,False,False,False,False
6,15-APR-02,False,True,A,False,,False,False,,,1019446,False,24.0,NKUBICK@PARKAVEBUILDING.COM,False,(718) 596-5085,False,,False,False,N,False,0,0,0,0,0,0,False,,PARK AVE BUILDING & ROOFING SUPPLIES LLC,False,False,,0,0,0,0,0,0,0,0,0,,BROOKLYN,US,NY,PO BOX 330721,11233,06-APR-22,235051,2021.0,False,,False,False,0,0,0,0,0,0,25.0,,NY,False,False,False,False,N,BROOKLYN,US,NY,2120 ATLANTIC AVENUE,11233,235051,2021,False,,,,0,0,0,0,0,0,0,0,0,23,0,0,(718) 403-0100,2,0,0,2,0,0,False,False,8306,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
7,15-APR-02,False,True,C,False,,False,False,,,1019449,False,1.0,RICKYINSULATION@YAHOO.COM,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,ROBERTS INSULATION INC,False,False,,0,0,0,0,0,0,0,0,0,,PENDERGRASS,US,GA,1406 MOUNTAIN CREEK CHURCH RD,30567,14-FEB-13,10000,2012.0,False,,False,False,0,0,0,0,0,0,2.0,,GA,False,False,False,False,N,PENDERGRASS,US,GA,1444 MOUNTAIN CREEK CHURCH RD,30567,0,0,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(770) 967-6955,0,0,0,0,0,0,False,False,8307,,0,0,0,0,0,0,False,,False,False,False,False,False,False
8,15-APR-02,False,,C,False,,False,False,,,1019452,False,1.0,RCHOMES@THEBEST.NET,False,,False,,True,False,N,False,0,0,0,0,0,0,False,,REGENCY CUSTOM HOMES INC,False,False,,0,0,0,0,0,0,0,0,0,,BRUNSWICK,US,GA,2006 BAYSWATER RD,31525,,5000,2001.0,False,,False,False,0,0,0,0,0,0,1.0,,GA,False,False,False,False,N,BRUNSWICK,US,GA,2006 BAYSWATER RD,31525,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(912) 261-1045,1,0,0,0,0,0,False,False,8308,,0,0,0,0,0,0,False,,False,False,False,False,False,False
9,15-APR-02,False,,C,False,,False,False,True,,1019456,False,1.0,JNNJNR0327@YAHOO.COM,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,PEPO TRUCKING LLC,False,False,,0,0,0,0,0,0,0,0,0,,HOMESTEAD,US,FL,15345 SW 288 ST,33033,02-JUN-21,46739,2020.0,False,,False,False,0,0,0,0,0,0,1.0,,FL,False,False,False,False,N,HOMESTEAD,US,FL,15345 SW 288 ST,33033,46739,2020,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(908) 906-5815,1,0,0,1,0,0,False,False,8309,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
10,15-APR-02,False,,A,False,,False,False,,,1019460,False,3.0,PALOMINOLLC@YAHOO.COM,False,(915) 975-7998,False,,True,False,N,False,0,0,0,0,0,0,False,,PALOMINO TRUCKING LLC,False,False,,0,0,0,0,0,0,0,0,0,,EL PASO,US,TX,12537 TIERRA LIBRE WAY,79938,18-FEB-22,549480,2021.0,False,,False,False,0,0,0,0,0,0,3.0,,TX,False,False,False,False,N,EL PASO,US,TX,12537 TIERRA LIBRE WAY,79938,837944,2022,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(915) 309-8793,0,4,0,2,1,0,False,False,8310,3.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
11,15-APR-02,False,,A,False,,False,False,,,1019461,False,1.0,PENNYDUPREE3@YAHOO.COM,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,TIM ROWELL TRUCKING LLC,False,False,True,0,0,0,0,0,0,0,0,0,,COUSHATTA,US,LA,158 LAWRENCE ROAD,71019,09-JAN-22,125000,2021.0,False,,False,False,0,0,0,0,0,0,1.0,,LA,False,False,False,False,N,COUSHATTA,US,LA,158 LAWRENCE ROAD,71019,125000,2021,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(318) 422-6536,3,0,0,1,0,0,False,False,8311,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
12,15-APR-02,False,,C,False,,False,False,True,,1019464,False,1.0,DELANEST@MSN.COM,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,STEPHENS GRADING & PAVING INC,False,False,,0,0,0,0,0,0,0,0,0,,ACWORTH,US,GA,3839 RIVERS RUN TRACE,30101,,10000,2001.0,False,,False,False,0,0,0,0,0,0,1.0,,GA,False,False,False,False,N,ACWORTH,US,GA,3839 RIVERS RUN TRACE,30101,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(770) 633-1761,1,0,0,0,0,0,False,False,8312,,0,0,0,0,0,0,False,,False,False,False,False,False,False
13,15-APR-02,False,,A,False,True,False,False,,SIERRA TRUCKING,1019465,False,1.0,ERICADAGENT@GMAIL.COM,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,MARIO ENRIQUE SIERRA DE LEON,False,False,,0,0,0,0,0,0,0,0,0,,PARAMOUNT,US,CA,14823 ORAGE AVE,90723,31-JUL-19,1,2018.0,False,,False,False,0,0,0,0,0,0,1.0,,CA,False,False,False,False,N,PARAMOUNT,US,CA,14823 ORAGE AVE,90723,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(562) 277-5541,0,0,0,1,0,0,False,False,8313,,0,0,0,0,0,0,False,,False,False,False,False,False,False
14,15-APR-02,False,,A,False,,False,False,,,1019469,False,1.0,LEWIEJF@GMAIL.COM,False,,False,,True,False,N,False,0,0,0,0,0,0,False,,PRIORITY BLUE,False,False,,0,0,0,0,0,0,0,0,0,,DALLAS,US,TX,7315 OAKMORE DRIVE,75249,26-AUG-22,95000,2018.0,False,,False,False,0,0,0,0,0,0,1.0,,TX,False,False,False,False,N,DALLAS,US,TX,7315 OAKMORE DRIVE,75249,95000,2018,False,,,,0,0,0,0,0,0,0,0,0,0,0,1,(972) 283-1758,0,0,0,0,0,0,False,False,8314,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
15,15-APR-02,False,,C,False,,False,False,,,1019472,False,2.0,TNSREPOSERVICE@YAHOO.COM,False,(217) 435-9715,False,,False,False,N,False,0,0,0,0,0,0,False,,T & S AUTO SALES,False,False,,0,0,0,0,0,0,0,0,0,,WAVERLY,US,IL,484 W ELM,62692,29-SEP-22,40000,2021.0,False,,False,True,0,0,0,0,0,0,3.0,,IL,False,False,False,False,N,WAVERLY,US,IL,484 W ELM,62692,40000,2021,False,,,,0,0,0,0,0,0,0,0,0,3,0,0,(217) 435-9508,0,0,0,0,0,0,False,False,8315,1.0,0,0,0,0,0,0,False,,False,False,False,False,False,False
